catID	LG	locus	cM	best_model	best_loglike	epsilon	first_seg_pval	second_seg_pval	next_model	next_loglike
346	0	346_x1	112.27	AB	-4.076556575	0	0.207958422	NA	AB_AB	-101.556786
35168	0	35168_x1	74.602	AB	-3.933429766	0.017647059	0.644542212	NA	AB_AB	-115.0765414
35236	0	35236_x1	4.923	AB	-3.406509624	0	0.755605875	NA	AB_AB	-116.6757903
35287	0	35287_x1	92.27	AB	-3.467874875	0	0.638521549	NA	AB_AB	-115.3641946
3557	0	3557_x1	110.703	AB	-3.350196841	0	1	NA	AB_AB	-118.678919
35715	0	35715_x1	53.433	AB	-3.374470406	0	0.938894974	NA	AB_AB	-120.0761536
36168	0	36168_x1	31.624	AB	-3.536178578	0	0.523300793	NA	AB_AB	-111.3136154
36199	0	36199_x1	107.109	AB	-3.456726859	0	0.699797488	NA	AB_AB	-118.785449
3711	0	3711_x1	128.547	AB	-3.370668589	0	0.877066811	NA	AB_AB	-118.0129103
37174	0	37174_x1	8.486	AB	-6.695302351	0	0.00956483	NA	AA_xx	-95.25835348
37217	0	37217_x1	82.214	AB	-3.992803276	0	0.263795746	NA	AB_AB	-111.7702401
3745	0	3745_x1	4.923	AB	-3.359435465	0	0.938894974	NA	AB_AB	-119.3746381
37616	0	37616_x1	88.112	AB	-3.565513345	0	0.531045449	NA	AB_AB	-115.4618331
3868	0	3868_x1	92.27	AB	-3.798585404	0.018292683	0.875581173	NA	AB_AB	-110.8388207
40038	0	40038_x1	5.496	AB	-3.359435465	0	0.938894974	NA	AB_AB	-119.3746381
40127	0	40127_x1	118.745	AB	-3.233610844	0	1	NA	AB_AB	-106.2056842
40397	0	40397_x1	23.143	AB	-3.362031299	0	0.938533405	NA	AB_AB	-118.6907535
41372	0	41372_x1	77.872	AB	-3.478830286	0	0.640562234	NA	AB_AB	-116.748111
41486	0	41486_x1	118.517	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
41494	0	41494_x1	128.547	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
41772	0	41772_x1	2.488	AB	-3.508430167	0	0.58247573	NA	AB_AB	-114.7182694
4195	0	4195_x1	117.876	AB	-3.810089964	0.017857143	0.877066811	NA	AB_AB	-113.5854324
42329	0	42329_x1	128.547	AB	-3.792231458	0.01754386	1	NA	AB_AB	-115.6192801
42707	0	42707_x1	71.631	AB	-3.399450473	0	0.690924977	NA	AB_AB	-111.8633678
42932	0	42932_x1	32.153	AB	-3.549975055	0	0.591484589	NA	AB_AB	-120.2516582
4300	0	4300_x1	64.828	AB	-3.749130413	0.01910828	1	NA	AB_AB	-106.0043871
4311	0	4311_x1	1.329	AB	-3.406509624	0	0.755605875	NA	AB_AB	-116.6757903
43215	0	43215_x1	3.932	AB	-3.506860398	0	0.515162503	NA	AB_AB	-107.1654143
43686	0	43686_x1	108.297	AB	-3.349525063	0	0.938165342	NA	AB_AB	-117.3052863
43857	0	43857_x1	4.923	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
43911	0	43911_x1	12.464	AB	-3.784168442	0	0.398927147	NA	AB_AB	-120.4858516
44027	0	44027_x1	123.482	AB	-3.17958941	0	1	NA	AB_AB	-100.6598189
44288	0	44288_x1	128.547	AB	-3.39520105	0	0.878500471	NA	AB_AB	-120.7833647
44430	0	44430_x1	2.651	AB	-5.394289127	0.140350877	0.531045449	NA	AB_AB	-90.67120645
44750	0	44750_x1	3.39	AB	-3.16412257	0	0.86341523	NA	AB_AB	-95.83898861
44761	0	44761_x1	123.482	AB	-3.345881307	0	0.875581173	NA	AB_AB	-115.242201
44837	0	44837_x1	117.876	AB	-3.374470406	0	0.938894974	NA	AB_AB	-120.0761536
44994	0	44994_x1	79.819	AB	-5.099226908	0.017857143	0.121448021	NA	AB_AB	-114.8745693
45314	0	45314_x1	94.801	AB	-3.24841442	0	0.802693355	NA	AB_AB	-102.1016049
45516	0	45516_x1	128.547	AB	-3.430033473	0	0.758421989	NA	AB_AB	-119.4452361
45664	0	45664_x1	7.286	AB	-3.308695824	0	0.937408934	NA	AB_AB	-113.8320546
45764	0	45764_x1	19.929	AA_AB	-4.691235447	0.075	0.471286103	NA	AB_AB	-42.15195018
45968	0	45968_x1	4.923	AB	-3.324304818	0	0.937408934	NA	AB_AB	-114.5341441
46019	0	46019_x1	4.923	AB	-3.399153292	0	0.939599372	NA	AB_AB	-122.8467584
46169	0	46169_x1	108.297	AB	-3.39520105	0	0.878500471	NA	AB_AB	-120.7833647
46239	0	46239_x1	92.27	AB	-3.453360326	0	0.761142971	NA	AB_AB	-122.214485
46272	0	46272_x1	7.286	AB	-3.409561726	0	0.818105968	NA	AB_AB	-120.1112449
46426	0	46426_x1	111.82	AB	-3.828199456	0.017964072	0.81596828	NA	AB_AB	-112.9197105
46586	0	46586_x1	128.547	AB	-3.618972042	0	0.479615169	NA	AB_AB	-114.8288113
46889	0	46889_x1	67.034	AB	-3.333388437	0	0.874817867	NA	AB_AB	-113.8567472
47080	0	47080_x1	74.719	AB	-3.272985219	0	0.93580892	NA	AB_AB	-108.9909806
47255	0	47255_x1	128.547	AB	-3.384385695	0	1	NA	AB_AB	-122.1455103
47317	0	47317_x1	123.482	AB	-3.371944188	0	1	NA	AB_AB	-120.7601078
47463	0	47463_x1	1.513	AB	-3.246856071	0	0.934961486	NA	AB_AB	-106.2189295
47562	0	47562_x1	66.912	AB	-3.421529469	0	0.819147252	NA	AB_AB	-121.4961736
47644	0	47644_x1	2.332	AB	-3.308695824	0	1	NA	AB_AB	-113.8320546
48159	0	48159_x1	5.599	AB	-3.433942381	0	0.696340969	NA	AB_AB	-116.0167426
48343	0	48343_x1	47.166	AB	-3.359435465	0	0.938894974	NA	AB_AB	-119.3746381
48403	0	48403_x1	126.347	AB	-3.441721065	0	0.759794034	NA	AB_AB	-120.8298847
48557	0	48557_x1	128.272	AB	-3.618972042	0	0.479615169	NA	AB_AB	-114.8288113
48681	0	48681_x1	128.547	AB	-3.628041117	0	0.482306288	NA	AB_AB	-116.2108413
48961	0	48961_x1	66.435	AB	-4.42655942	0	0.147997631	NA	AB_AB	-110.8310352
49027	0	49027_x1	77.769	AB	-3.646224254	0	0.487566996	NA	AB_AB	-118.9749464
49380	0	49380_x1	128.547	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
4966	0	4966_x1	34.114	AB	-3.489755602	0	0.642568809	NA	AB_AB	-118.1319973
4977	0	4977_x1	123.482	AB	-3.295826051	0	1	NA	AB_AB	-112.4462238
49938	0	49938_x1	17.835	AB	-3.555734999	0	0.528505683	NA	AB_AB	-114.0790938
50505	0	50505_x1	112.016	AB	-3.430033473	0	0.758421989	NA	AB_AB	-119.4452361
50581	0	50581_x1	126.347	AB	-3.549975055	0	0.591484589	NA	AB_AB	-120.2516582
50585	0	50585_x1	128.547	AB	-3.768098652	0.018867925	0.93662407	NA	AB_AB	-107.3902955
50689	0	50689_x1	8.486	AB	-3.409561726	0	0.818105968	NA	AB_AB	-120.1112449
51260	0	51260_x1	1.329	AB	-3.421529469	0	0.819147252	NA	AB_AB	-121.4961736
51410	0	51410_x1	13.61	AB	-3.549975055	0	0.591484589	NA	AB_AB	-120.2516582
51703	0	51703_x1	128.547	AB	-3.39520105	0	0.878500471	NA	AB_AB	-120.7833647
52412	0	52412_x1	55.35	AB	-5.822468411	0.009032258	0.375456888	NA	AB_AB	-112.0887959
52547	0	52547_x1	7.286	AB	-3.549975055	0	0.591484589	NA	AB_AB	-120.2516582
52804	0	52804_x1	99.895	AB	-3.371944188	0	0.939250235	NA	AB_AB	-120.7601078
52879	0	52879_x1	11.273	AB	-3.646224254	0	0.487566996	NA	AB_AB	-118.9749464
53010	0	53010_x1	82.351	AB	-3.898215703	0	0.297933645	NA	AB_AB	-110.989172
53246	0	53246_x1	100.519	AB	-3.295494036	0	0.872440803	NA	AB_AB	-109.6999699
53263	0	53263_x1	7.286	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
53501	0	53501_x1	128.547	AB	-3.441721065	0	0.759794034	NA	AB_AB	-120.8298847
53562	0	53562_x1	77.186	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
53595	0	53595_x1	14.379	AB	-3.430033473	0	0.758421989	NA	AB_AB	-119.4452361
53888	0	53888_x1	107.109	AB	-3.421529469	0	0.819147252	NA	AB_AB	-121.4961736
54045	0	54045_x1	2.769	AB	-3.349525063	0	0.938165342	NA	AB_AB	-117.3052863
54281	0	54281_x1	71.631	AB	-5.61042183	0.008187135	0.591484589	NA	AB_AB	-122.9509308
54310	0	54310_x1	128.547	AB	-3.418296638	0	0.757026167	NA	AB_AB	-118.0605383
54318	0	54318_x1	46.429	AB	-3.257364497	0	0.665950164	NA	AB_AB	-95.24575005
54449	0	54449_x1	31.895	AB	-3.386843911	0	0.939250235	NA	AB_AB	-121.4614881
54550	0	54550_x1	77.769	AB	-3.594838255	0	0.538426966	NA	AB_AB	-119.6100409
55092	0	55092_x1	92.27	AB	-3.804370699	0.018072289	0.876330684	NA	AB_AB	-112.2120865
55397	0	55397_x1	31.784	AB	-3.312034725	0	1	NA	AB_AB	-114.521874
55481	0	55481_x1	23.503	AA_BC	-10.45278873	0.04	0.591484589	NA	AB_AC	-114.8239112
55549	0	55549_x1	66.912	AB	-3.336950115	0	0.937790586	NA	AB_AB	-115.9197503
55627	0	55627_x1	6.142	AB	-3.371944188	0	1	NA	AB_AB	-120.7601078
55647	0	55647_x1	113.127	AB	-3.385457072	0	0.81596828	NA	AB_AB	-117.3412183
55659	0	55659_x1	41.663	AB	-3.349525063	0	0.938165342	NA	AB_AB	-117.3052863
5567	0	5567_x1	123.482	AB	-3.780329036	0.018404908	0.937408934	NA	AB_AB	-110.13688
55682	0	55682_x1	44.549	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
55944	0	55944_x1	23.321	AB	-3.421529469	0	0.819147252	NA	AB_AB	-121.4961736
56094	0	56094_x1	41.944	AB	-3.350196841	0	1	NA	AB_AB	-118.678919
5612	0	5612_x1	128.547	AB	-3.422487737	0	0.694567367	NA	AB_AB	-114.632327
56222	0	56222_x1	4.923	AB	-3.41948977	0	0.879885115	NA	AB_AB	-123.5535754
56370	0	56370_x1	127.699	AB	-3.361118791	0	0.813753412	NA	AB_AB	-114.570958
56462	0	56462_x1	65.06	AB	-3.350196841	0	1	NA	AB_AB	-118.678919
56643	0	56643_x1	66.912	AB	-3.780273147	0.018072289	1	NA	AB_AB	-112.187989
56875	0	56875_x1	3.742	AB	-3.422487737	0	0.694567367	NA	AB_AB	-114.632327
56945	0	56945_x1	128.547	AB	-3.370668589	0	0.877066811	NA	AB_AB	-118.0129103
56947	0	56947_x1	12.464	AB	-3.721017602	0	0.444532857	NA	AB_AB	-121.1091813
56986	0	56986_x1	42.315	AB	-3.34685794	0	1	NA	AB_AB	-117.9890996
57039	0	57039_x1	8.486	AB	-3.937652084	0.01744186	0.646483345	NA	AB_AB	-116.4486721
57161	0	57161_x1	4.923	AB	-3.422487737	0	0.694567367	NA	AB_AB	-114.632327
57254	0	57254_x1	18.982	AB	-4.001040681	0	0.269821152	NA	AB_AB	-114.5243994
57323	0	57323_x1	20.543	AB	-3.37331776	0	0.814870781	NA	AB_AB	-115.956118
5737	0	5737_x1	129.252	AB	-3.738699889	0.02189781	0.797102335	NA	AB_AB	-92.3343007
57488	0	57488_x1	94.563	AB	-3.394671471	0	0.75416039	NA	AB_AB	-115.2909912
57572	0	57572_x1	120.313	AB	-3.536178578	0	0.523300793	NA	AB_AB	-111.3136154
57726	0	57726_x1	5.496	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
57789	0	57789_x1	4.807	AB	-3.324304818	0	0.937408934	NA	AB_AB	-114.5341441
57829	0	57829_x1	18.273	AB	-3.26121421	0	0.804020365	NA	AB_AB	-103.4873656
58000	0	58000_x1	94.563	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
58023	0	58023_x1	66.912	AB	-3.358307522	0	0.876330684	NA	AB_AB	-116.6275882
58072	0	58072_x1	8.486	AB	-3.478830286	0	0.640562234	NA	AB_AB	-116.748111
58095	0	58095_x1	112.547	AB	-3.34685794	0	1	NA	AB_AB	-117.9890996
58942	0	58942_x1	12.464	AB	-3.65533557	0	0.490138567	NA	AB_AB	-120.3570187
59844	0	59844_x1	107.109	AB	-3.430033473	0	0.758421989	NA	AB_AB	-119.4452361
60000	0	60000_x1	7.286	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
60182	0	60182_x1	111.395	AB	-3.508430167	0	0.58247573	NA	AB_AB	-114.7182694
60227	0	60227_x1	4.923	AB	-3.433442365	0	0.820170857	NA	AB_AB	-122.8810475
60553	0	60553_x1	4.923	AB	-3.407375213	0	0.879198744	NA	AB_AB	-122.1684998
60681	0	60681_x1	13.61	AB	-3.397537988	0	0.817046489	NA	AB_AB	-118.7262602
61017	0	61017_x1	128.547	AB	-3.594838255	0	0.538426966	NA	AB_AB	-119.6100409
61067	0	61067_x1	65.249	AB	-23.01240296	0.067873303	0.802693355	NA	singles	-121.3221102
6137	0	6137_x1	42.758	AB	-3.324304818	0	0.937408934	NA	AB_AB	-114.5341441
61961	0	61961_x1	128.547	AB	-3.349525063	0	0.938165342	NA	AB_AB	-117.3052863
62110	0	62110_x1	54.99	AB	-3.350196841	0	1	NA	AB_AB	-118.678919
62490	0	62490_x1	73.349	AB	-3.549975055	0	0.591484589	NA	AB_AB	-120.2516582
62888	0	62888_x1	53.064	AB	-3.349525063	0	0.938165342	NA	AB_AB	-117.3052863
6295	0	6295_x1	126.347	AB	-3.489755602	0	0.642568809	NA	AB_AB	-118.1319973
63019	0	63019_x1	67.785	AB	-3.375283089	0	1	NA	AB_AB	-121.4499272
63082	0	63082_x1	70.482	AB	-3.975714673	0.017751479	0.589286936	NA	AB_AB	-114.4349241
63151	0	63151_x1	77.769	AB	-3.529236698	0	0.587053564	NA	AB_AB	-117.4849979
63217	0	63217_x1	43.674	AB	-3.508430167	0	0.58247573	NA	AB_AB	-114.7182694
64062	0	64062_x1	5.496	AB	-3.362031299	0	0.938533405	NA	AB_AB	-118.6907535
64159	0	64159_x1	119.77	AB	-3.704254299	0	0.439128929	NA	AB_AB	-118.346496
64801	0	64801_x1	26.979	AB	-3.336950115	0	0.937790586	NA	AB_AB	-115.9197503
65391	0	65391_x1	79.33	AB	-3.308196444	0	0.873248139	NA	AB_AB	-111.0856332
65470	0	65470_x1	41.137	AB	-3.34685794	0	0.938533405	NA	AB_AB	-117.9890996
65860	0	65860_x1	81.934	AB	-3.860779545	0	0.358834216	NA	AB_AB	-121.2489432
65900	0	65900_x1	5.496	AB	-3.359435465	0	1	NA	AB_AB	-119.3746381
66995	0	66995_x1	19.929	AA_AB	-3.786296996	0.017751479	1	NA	AB_AB	-57.26762579
67090	0	67090_x1	128.547	AB	-3.336950115	0	0.937790586	NA	AB_AB	-115.9197503
67209	0	67209_x1	4.698	AB_AC	-125.5953812	0.026666667	0.761142971	0.761142971	AA_xx	-245.9834998
67209	0	67209_x2	4.419	AB_AC	-125.5953812	0.026666667	0.761142971	0.761142971	AA_xx	-245.9834998
67235	0	67235_x1	110.703	AB	-3.418296638	0	0.757026167	NA	AB_AB	-118.0605383
67369	0	67369_x1	128.547	AB	-3.433942381	0	0.696340969	NA	AB_AB	-116.0167426
67913	0	67913_x1	8.603	AB	-3.430033473	0	0.758421989	NA	AB_AB	-119.4452361
68091	0	68091_x1	2.769	AB	-4.461955139	0.053254438	0.587053564	NA	AB_AB	-105.9943591
68360	0	68360_x1	113.441	AB	-3.430033473	0	0.758421989	NA	AB_AB	-119.4452361
68439	0	68439_x1	66.912	AB	-4.090202855	0.035294118	1	NA	AB_AB	-110.4993412
68463	0	68463_x1	74.412	AB	-9.140919728	0.025149701	0.814870781	NA	AB_AB	-121.3993364
69396	0	69396_x1	126.347	AB	-3.418296638	0	0.757026167	NA	AB_AB	-118.0605383
69938	0	69938_x1	128.547	AB	-3.370668589	0	0.877066811	NA	AB_AB	-118.0129103
70226	0	70226_x1	128.547	AB	-3.386843911	0	0.939250235	NA	AB_AB	-121.4614881
7032	0	7032_x1	1.329	AB	-3.433442365	0	0.820170857	NA	AB_AB	-122.8810475
70558	0	70558_x1	118.25	AB	-3.422487737	0	0.694567367	NA	AB_AB	-114.632327
70679	0	70679_x1	4.923	AB	-3.371944188	0	1	NA	AB_AB	-120.7601078
70960	0	70960_x1	4.807	AB	-3.320827354	0	0.874040338	NA	AB_AB	-112.4712251
7104	0	7104_x1	108.297	AB	-3.298001046	0	0.741591942	NA	AB_AB	-104.210633
71219	0	71219_x1	128.547	AB	-3.371944188	0	1	NA	AB_AB	-120.7601078
7162	0	7162_x1	127.129	AB	-17.55084316	0.072727273	0.934079577	NA	AB_AB	-114.9787579
72524	0	72524_x1	8.772	AB	-3.60460725	0	0.540811578	NA	AB_AB	-120.9927709
72849	0	72849_x1	128.547	AB	-3.48755774	0	0.577742836	NA	AB_AB	-111.951475
72924	0	72924_x1	74.602	AB	-3.585065782	0	0.536005062	NA	AB_AB	-118.2273075
73069	0	73069_x1	67.785	AB	-4.102036506	0.034682081	0.939250235	NA	AB_AB	-112.5454411
73115	0	73115_x1	47.75	AB	-3.575290552	0	0.533544894	NA	AB_AB	-116.8445713
7330	0	7330_x1	119.056	AB	-3.790970896	0	0.32558038	NA	AB_AB	-106.0765638
73562	0	73562_x1	23.698	AB	-3.410990648	0	0.692762349	NA	AB_AB	-113.2478689
7359	0	7359_x1	77.769	AB	-3.382781192	0	0.752688957	NA	AB_AB	-113.90614
73675	0	73675_x1	4.11	AB	-3.385457072	0	0.81596828	NA	AB_AB	-117.3412183
73769	0	73769_x1	78.761	AB	-34.65460303	0.1	0.231537166	NA	singles	-127.6302248
73812	0	73812_x1	128.547	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
73997	0	73997_x1	7.286	AB	-3.445355214	0	0.698084055	NA	AB_AB	-117.4011164
7407	0	7407_x1	11.273	AB	-3.847355143	0	0.353137754	NA	AB_AB	-118.4895968
7414	0	7414_x1	13.74	AB	-3.441721065	0	0.759794034	NA	AB_AB	-120.8298847
75392	0	75392_x1	74.602	AB	-5.58041211	0.008695652	0.580129206	NA	AB_AB	-116.0007041
77145	0	77145_x1	13.959	AB	-3.382781192	0	0.752688957	NA	AB_AB	-113.90614
77407	0	77407_x1	77.769	AB	-3.638629676	0	0.415855494	NA	AB_AB	-107.2971835
7769	0	7769_x1	128.547	AB	-3.618972042	0	0.479615169	NA	AB_AB	-114.8288113
77901	0	77901_x1	8.968	AB	-3.399450473	0	0.690924977	NA	AB_AB	-111.8633678
77928	0	77928_x1	19.593	AB	-3.246856071	0	0.934961486	NA	AB_AB	-106.2189295
78557	0	78557_x1	26.979	AB	-3.418296638	0	0.757026167	NA	AB_AB	-118.0605383
7857	0	7857_x1	128.547	AB	-3.421529469	0	0.819147252	NA	AB_AB	-121.4961736
78852	0	78852_x1	66.635	AA_AB	-4.489777797	0.091463415	0.937020169	NA	AB_AB	-44.47879864
7909	0	7909_x1	116.641	AB	-3.311587473	0	0.937020169	NA	AB_AB	-113.1484657
7971	0	7971_x1	67.924	AB	-3.803927498	0.01754386	0.938894974	NA	AB_AB	-115.6309761
8010	0	8010_x1	82.087	AB	-3.285654873	0	0.739881575	NA	AB_AB	-102.8253258
81615	0	81615_x1	128.547	AB	-3.401499882	0	0.625503624	NA	AB_AB	-107.0600538
81913	0	81913_x1	80.664	AB	-4.005367772	0	0.272783917	NA	AB_AB	-115.9016875
8218	0	8218_x1	126.555	AB	-3.308695824	0	1	NA	AB_AB	-113.8320546
83187	0	83187_x1	2.173	AB	-3.409561726	0	0.818105968	NA	AB_AB	-120.1112449
83217	0	83217_x1	128.669	AB	-3.399450473	0	0.690924977	NA	AB_AB	-111.8633678
8505	0	8505_x1	128.547	AB	-3.898215703	0	0.297933645	NA	AB_AB	-110.989172
8781	0	8781_x1	4.923	AB	-3.418296638	0	0.757026167	NA	AB_AB	-118.0605383
88177	0	88177_x1	4.923	AB	-3.434826084	0	0.632184878	NA	AB_AB	-111.2122629
9109	0	9109_x1	9.504	AB	-3.545956419	0	0.525924506	NA	AB_AB	-112.6963542
9169	0	9169_x1	7.397	AB	-3.359435465	0	1	NA	AB_AB	-119.3746381
9183	0	9183_x1	120.02	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
