Marker	fam_08_LG	fam_08_cM
56489_x1	21	119.559
67446_x1	9	136.343
18960_x1	23	10.546
Oke_u217-172_x1	20	0
1652_x1	11	21.811
60079_x1	21	7.331
46124_x1	26	7.508
28222_x1	33	32.484
54252_x1	32	30.13
76057_x1	16	0
20880_x1	26	4.827
21131_x1	5	107.379
61697_x1	7	3.432
9057_x1	2	75.61
5229_x1	26	9.697
63234_x1	27	42.22
52779_x1	9	149.348
64138_x1	30	60.588
58726_x1	19	22.35
4977_x1	1	123.482
47035_x1	7	26.007
55174_x1	36	43.55
45762_x1	15	46.502
9058_x1	21	108.774
10281_x1	15	53.997
56276_x1	33	69.009
59977_x1	2	94.749
54534_x1	21	25.921
64420_x1	3	148.513
47852_x1	14	116.349
45764_x1	1	19.929
56346_x1	10	114.593
6782_x1	5	11.354
47033_x1	17	28.087
44761_x1	1	123.482
7021_x1	35	67.155
8739_x1	15	6.585
10020_x1	19	30.378
8966_x1	37	63.187
43857_x1	1	4.923
23808_x1	5	99.608
60076_x1	22	22.222
33667_x1	4	12.22
44534_x1	21	66.9
75175_x1	31	7.189
18294_x1	21	135.046
49970_x1	8	97.48
56998_x1	29	55.09
48182_x1	32	66.841
51314_x1	27	28.25
73289_x1	3	62.221
2642_x1	29	63.478
20837_x1	10	0.649
11121_x1	31	22.542
76723_x1	11	29.916
64357_x1	11	20.536
2666_x1	10	2.476
50457_x1	25	10.032
70445_x1	8	115.99
12795_x1	12	43.37
62843_x1	5	53.099
22834_x1	5	79.078
2909_x1	27	24.842
22199_x2	2	132.894
22199_x1	21	12.553
13381_x1	7	117.51
61007_x1	13	67.011
72123_x1	10	69.492
1576_x1	4	140.928
2660_x1	2	62.652
11256_x1	23	54.421
15979_x1	19	25.972
9640_x1	28	55.297
84234_x1	5	60.302
44321_x1	8	56.89
13383_x1	10	1.962
51565_x1	30	50.747
74740_x1	37	37.757
10923_x1	10	117.495
63105_x1	17	4.995
63158_x1	12	71.36
24678_x1	34	35.697
1534_x1	3	64.95
66141_x1	10	9.913
45644_x1	9	102.74
4124_x1	12	50.146
64612_x1	6	106.452
46178_x1	15	6.585
40186_x1	2	4.913
14244_x1	26	10.131
822_x1	25	65.29
83187_x1	1	2.173
46519_x1	17	39.491
13134_x1	33	59.222
42264_x1	21	136.201
9234_x1	20	53.318
9993_x1	20	64.838
74694_x1	33	35.395
71247_x1	29	1.375
42268_x1	13	9.088
77725_x1	6	131.316
69990_x1	36	70.491
64906_x1	24	50.789
1885_x1	8	25.898
5899_x1	24	4.941
3577_x1	32	79.508
31028_x1	19	65.827
5755_x1	31	24.759
59245_x1	11	64.167
55972_x1	15	36.097
76311_x1	22	58.05
37019_x1	28	65.027
3334_x1	6	20.989
54109_x1	23	46.411
5942_x1	19	13.453
8989_x1	28	65.766
43613_x1	2	68.272
54312_x1	19	71.556
6702_x1	5	41.783
70200_x1	7	40.635
25351_x1	4	8.973
16817_x1	6	122.366
826_x1	25	62.549
56713_x2	35	84.449
56713_x1	10	118.648
38513_x1	16	4.823
62222_x1	12	116.663
6681_x1	2	21.993
36168_x1	1	31.624
22674_x1	2	120.092
52842_x1	15	15.177
25067_x1	36	40.834
9715_x1	20	59.571
16705_x1	30	49.365
7414_x1	1	13.74
5247_x1	7	14.637
47541_x1	9	62.204
37425_x1	9	139.857
4261_x1	24	12.943
76641_x1	2	89.085
48337_x1	16	36.744
70408_x1	11	21.296
75551_x1	9	12.671
58973_x1	19	37.32
5893_x1	10	58.23
49818_x1	2	114.007
47374_x1	24	25.907
39965_x1	23	40.208
19376_x1	10	48.914
3147_x1	19	37.846
7998_x1	9	106.94
22740_x1	37	54.866
40072_x1	34	68.458
66018_x1	25	20.914
48333_x1	29	55.359
20204_x1	4	12.86
68999_x1	17	37.77
8587_x1	23	64.737
56732_x1	22	28.195
67703_x1	29	24.855
72807_x1	8	99.642
61949_x1	18	63.025
57815_x1	8	19.994
44421_x1	2	2.969
72758_x1	21	136.201
72758_x2	32	91.024
31254_x1	35	98.468
57303_x1	33	51.961
49723_x1	19	57.867
62264_x1	3	119.645
59462_x1	30	61.133
47851_x1	10	10.814
16042_x1	29	67.554
49914_x1	5	25.755
77367_x1	8	0.244
54236_x1	12	0
52890_x1	6	69.942
14156_x1	26	12.78
15077_x1	11	124.974
57397_x1	11	12.666
61779_x1	8	12.754
73082_x1	2	2.969
68013_x1	20	67.003
33297_x1	5	78.442
50899_x1	33	78.177
20131_x1	36	48.103
26770_x1	1	128.547
64133_x1	33	15.475
51455_x1	4	122.903
681_x1	9	14.477
53138_x1	32	15.679
65767_x1	11	128.118
4591_x1	33	52.438
4329_x1	4	8.973
70523_x1	16	35.818
14793_x1	30	32.806
27570_x1	26	5.482
2068_x1	21	105.865
52700_x1	4	119.145
57035_x1	15	36.378
10803_x1	28	63.337
1425_x1	32	86.76
1425_x2	21	136.201
54711_x1	8	21.548
6521_x1	26	1.076
59424_x1	12	70.485
62069_x1	23	72.375
9109_x1	1	9.504
9788_x1	26	10.432
63284_x1	32	43.839
13956_x1	17	0.888
19306_x1	1	33.988
66167_x1	18	14.078
69327_x1	6	117.657
29563_x1	25	27.18
55444_x1	18	60.701
46548_x1	3	104.501
41815_x1	18	11.497
78739_x1	36	47.783
71678_x1	2	41.429
20355_x1	28	42.353
6028_x1	34	18.352
20262_x1	13	71.871
1151_x1	23	59.293
4785_x1	28	62.914
9921_x1	18	0
49600_x1	32	76.39
78292_x1	36	70.491
5450_x1	6	146.279
57107_x1	36	56.093
17688_x1	14	26.188
13433_x1	20	33.916
69913_x1	2	41.885
67780_x1	10	59.313
2570_x1	33	7.862
78102_x1	2	122.788
26101_x1	24	23.148
64268_x1	6	137.268
46737_x1	10	55.528
8305_x1	20	13.109
44224_x1	2	65.217
62722_x1	19	24.5
13180_x1	12	140.89
18083_x1	9	151.125
55660_x1	25	34.248
4875_x1	29	63.944
47052_x1	21	66.9
59005_x1	25	3.424
48597_x1	37	22.979
40699_x1	8	6.44
55446_x1	32	5.192
53700_x1	6	15.891
20917_x1	1	66.781
4873_x1	20	20.319
63877_x1	19	46.57
18983_x1	1	120.716
3900_x1	9	6.891
36199_x1	1	107.109
57619_x1	19	60.372
48681_x1	1	128.547
70287_x1	18	66.734
22055_x1	27	0.926
56561_x1	27	8.48
41772_x1	1	2.488
172_x1	32	86.76
64022_x1	20	59.858
4144_x2	6	141.51
63618_x1	2	46.835
78505_x1	9	56.431
56184_x1	8	13.225
30434_x1	19	0
48733_x1	9	77.654
48823_x1	32	64.866
54519_x1	4	16.775
54189_x1	4	12.22
40155_x1	21	99.945
64854_x1	21	100.258
46892_x1	6	135.877
76019_x1	4	48.786
6418_x1	18	90.565
6917_x1	28	62.914
63968_x1	19	63.528
15355_x1	32	84.383
12468_x1	36	72.765
42041_x1	11	72.647
73062_x1	2	75.212
54770_x1	29	15.332
41917_x1	5	116.492
49753_x1	3	124.052
60979_x1	11	11.911
37758_x1	29	63.187
71157_x1	27	9.091
77616_x1	17	5.572
3634_x1	13	69.724
62921_x1	4	48.436
75374_x1	24	74.703
41551_x1	23	28.199
19426_x1	9	91.967
54637_x1	2	51.687
72576_x1	8	26.14
2540_x1	24	5.382
59835_x1	9	157.573
57264_x1	7	73.938
56030_x1	10	55.629
66761_x1	8	111.654
Oke_NUPR1-70_x1	32	8.093
44755_x1	13	40.507
37602_x1	7	85.918
11948_x1	1	22.961
11280_x1	6	68.608
46253_x2	8	119.507
46253_x1	37	74.351
29276_x1	16	1.093
50132_x1	20	33.083
44837_x1	1	117.876
12194_x1	27	28.25
13075_x1	20	58.737
52678_x1	9	9.603
45313_x1	29	38.456
17425_x1	22	22.55
51134_x1	18	63.025
47512_x1	14	39.239
80449_x1	14	72.354
56839_x1	21	68.246
10989_x1	23	61.639
14678_x1	8	109.077
5937_x1	18	41.255
24451_x1	10	0.511
11950_x1	7	118.082
77610_x1	3	134.287
71449_x1	30	21.458
45418_x1	15	2.36
57919_x1	21	5.719
58953_x1	3	109.544
5931_x1	28	4.299
18214_x1	31	42.772
39732_x1	8	122.198
52804_x1	1	99.895
15284_x1	7	75.548
23360_x1	33	59.625
59165_x1	30	21.728
1361_x1	4	138.733
67174_x1	9	141.502
20517_x1	29	63.316
12092_x1	22	5.55
57747_x1	21	5.719
65570_x1	2	43.211
71699_x1	3	1.326
37041_x1	3	47.017
56327_x1	36	74.985
8906_x1	9	86.378
21967_x1	20	0
69794_x1	12	83.443
77749_x1	32	5.74
61693_x1	6	123.081
61202_x1	16	0
42886_x1	14	31.448
46728_x1	2	3.58
5845_x1	5	57.909
59732_x1	31	16.293
15021_x1	11	32.958
5064_x1	35	44.282
53532_x1	18	1.82
29112_x1	5	130.408
76544_x1	26	12.78
65649_x1	33	48.97
55267_x1	32	58.205
40294_x1	2	2.252
70388_x1	18	60.247
11035_x1	10	106.326
78187_x1	32	54.801
49657_x1	17	5.572
61134_x1	19	58.948
2239_x1	13	49.157
59848_x1	25	21.043
62544_x1	13	69.615
470_x1	29	47.22
60869_x1	4	2.258
1754_x1	2	134.037
37167_x1	15	46.502
15474_x1	3	60.539
5174_x1	33	76.092
4393_x1	7	130.701
11266_x1	4	103.812
68352_x1	27	0.926
66780_x1	11	8.191
17605_x1	6	128.709
85175_x1	2	116.344
6872_x1	29	58.661
54086_x1	14	72.117
63066_x1	2	76.208
65341_x1	8	61.48
58677_x1	26	8.432
43315_x1	3	60.777
39939_x1	12	3.217
73219_x1	8	44.685
57480_x1	32	75.83
10097_x1	31	49.803
1759_x1	1	77.769
79379_x1	10	55.629
70240_x1	15	1.539
83871_x1	17	8.967
56992_x1	22	39.623
59137_x1	17	3.868
40292_x1	6	102.907
9764_x1	24	9.012
42382_x1	18	84.283
8143_x1	8	100.549
13365_x1	15	21.305
62656_x1	11	24.415
46169_x1	1	108.297
43129_x1	31	13.542
55200_x1	15	1.539
10381_x1	35	69.605
9064_x1	33	76.092
64299_x1	4	1.275
19133_x1	37	43.767
64651_x1	21	66.9
Oke_gdh1-62_x1	27	59.279
2488_x1	25	32.172
74882_x1	31	22.542
281_x1	7	130.109
19464_x1	23	67.17
65002_x1	16	77.379
26818_x1	8	2.949
53399_x1	14	71.985
44679_x1	7	75.417
50477_x1	4	120.213
71352_x1	22	9.966
54550_x1	1	77.769
67549_x1	25	9.388
31869_x1	9	71.431
72043_x1	3	65.45
68501_x2	2	119.939
49377_x1	16	97.158
50475_x1	18	42.098
1474_x1	12	64.968
10235_x1	32	91.024
75830_x1	31	7.189
11969_x1	27	65.114
45053_x1	9	20.405
1012_x1	10	112.301
47537_x1	4	49.187
41661_x1	5	136.103
60224_x1	19	62.86
62881_x1	17	1.538
4821_x1	6	36.178
42061_x1	30	59.226
1249_x1	11	119.936
1010_x1	24	59.16
8882_x1	36	61.879
15928_x1	11	70.613
6999_x1	14	76.804
16170_x1	25	37.314
26332_x1	5	85.853
4300_x1	1	64.828
56175_x1	3	67.288
3339_x1	14	50.614
53889_x1	11	128.118
54322_x1	15	21.178
22571_x1	7	112.004
43894_x1	7	72.219
74388_x1	5	78.683
57095_x1	32	86.76
45667_x2	36	67.477
45667_x1	7	140.174
43456_x1	6	70.221
22489_x1	4	78.817
51077_x1	11	20.536
78179_x1	9	122.275
73346_x1	22	10.141
14184_x1	17	6.144
87366_x1	17	27.524
1070_x1	7	112.831
76921_x1	9	25.596
24246_x1	11	126.695
65131_x1	12	64.641
2424_x1	34	67.091
67196_x1	5	86.026
62413_x1	6	146.452
7872_x1	11	32.958
45975_x1	13	71.871
42551_x1	2	117.075
71059_x1	20	1.101
83851_x1	32	34.517
61537_x1	2	120.691
1072_x1	35	25.693
14266_x1	16	20.186
12330_x1	33	66.64
45663_x1	14	14.334
52336_x1	24	30.495
51702_x1	19	26.39
28323_x1	20	21.614
67803_x1	13	72.539
63326_x1	16	4.439
9030_x1	30	55.308
4233_x1	14	23.868
79147_x1	5	143.362
76288_x1	22	58.671
5195_x1	31	53.33
65229_x1	19	62.274
24063_x1	6	135.877
84359_x1	17	1.825
60126_x1	23	54.892
53441_x1	33	15.705
15628_x1	10	112.301
56653_x1	12	131.336
41996_x1	19	13.855
63522_x1	8	2.949
43081_x1	22	34.755
41047_x2	9	2.159
41047_x1	34	67.091
71906_x1	3	11.63
49440_x1	11	17.587
59075_x1	26	43.552
66820_x1	8	61.48
75785_x1	24	56.858
44_x1	19	71.899
17348_x1	6	69.752
83217_x1	1	128.669
53200_x1	23	19.233
51073_x1	5	134.93
42862_x1	3	140.958
16363_x1	17	37.77
49938_x1	1	17.835
30058_x1	3	21.852
47965_x1	35	51.085
50347_x1	16	1.093
26683_x2	37	74.63
63501_x1	8	49.696
61719_x1	6	39.963
67272_x1	35	41.589
57117_x1	17	54.176
12449_x1	15	1.539
74119_x1	14	63.338
76438_x1	21	120.716
17489_x1	27	24.167
35991_x1	35	69.103
7352_x1	8	44.685
12724_x1	17	9.533
6772_x1	9	77.312
3144_x1	1	67.428
55910_x1	24	51.212
54362_x1	28	62.914
1659_x1	4	119.841
10255_x1	36	57.656
63205_x1	2	65.889
59206_x1	29	57.519
46321_x1	6	9.735
65431_x1	17	26.642
13024_x1	25	54.592
64731_x1	5	78.173
65955_x1	19	74.035
42363_x1	31	5.273
28284_x1	12	140.89
59708_x1	30	62.194
21305_x1	18	19.279
12654_x1	20	18.227
25172_x1	20	48.858
69667_x1	16	20.468
20069_x1	8	5.905
64881_x1	25	24.289
59739_x1	21	137.341
41588_x1	17	2.368
60094_x1	7	106.236
30524_x1	9	167.385
20857_x1	35	41.998
63742_x1	12	64.641
11795_x1	6	149.271
545_x1	37	62.029
71489_x1	2	51.45
61079_x1	36	62.677
24367_x1	31	5.645
48097_x1	19	75.308
11311_x1	29	42.64
36087_x1	4	122.903
61012_x1	13	39.866
71290_x1	18	2.185
75878_x1	34	47.667
5321_x1	12	5.135
10822_x1	3	62.111
2062_x1	31	46.661
74113_x1	12	31.44
11248_x1	35	12.38
66199_x1	16	86.373
10264_x1	14	115.824
41260_x1	18	88.78
13594_x1	1	123.482
18895_x1	30	55.308
59967_x1	4	46.037
70671_x1	27	8.644
42571_x1	12	139.712
42626_x1	8	18.975
24540_x1	6	149.984
5448_x1	21	46.531
64883_x1	33	59.957
56619_x1	11	1.881
53263_x1	1	7.286
28269_x1	37	53.014
69078_x1	9	18.185
5518_x1	2	5.945
41062_x1	14	77.061
34743_x1	5	29.562
18734_x1	1	7.286
5599_x1	5	130.408
12754_x1	22	48.449
62851_x1	11	20.929
3207_x1	5	56.086
9324_x1	30	55.308
74514_x1	10	59.848
58188_x1	8	74.992
75608_x1	30	6.119
67476_x1	6	35.203
19794_x1	13	56.921
2810_x1	16	4.584
44241_x1	17	37.139
66852_x1	14	104.224
54753_x1	8	111.654
40377_x1	8	91.844
70382_x1	21	78.26
67958_x1	3	69.01
74512_x1	8	114.037
58339_x1	9	9.603
19964_x1	12	131.336
6294_x1	10	118.648
57280_x1	16	89.006
66135_x1	7	118.082
59197_x1	12	29.489
68327_x1	4	129.714
48801_x1	23	42.405
63038_x1	32	54.681
15012_x1	16	73.375
47644_x1	1	2.332
63614_x1	29	65.155
19962_x1	21	41.477
62112_x1	15	37.381
52010_x1	30	58.585
45530_x1	17	45.277
74752_x1	8	91.844
44396_x1	32	69.493
15944_x1	9	86.378
17674_x1	21	133.903
57936_x1	13	25.645
60958_x1	36	26.719
Oke_U510-204_x1	7	81.474
82160_x1	10	28.442
47863_x1	10	75.98
5080_x1	18	32.876
70717_x1	15	5.464
37249_x1	3	67.288
72827_x1	32	62.048
9607_x1	27	36.289
52272_x1	21	113.996
55959_x1	6	0
33473_x1	29	64.203
1483_x1	28	33.075
27969_x1	7	122.832
6793_x1	3	88.885
75981_x1	12	146.611
27374_x1	5	32.778
53775_x1	15	11.599
19717_x1	21	9.699
19717_x2	2	153.571
61095_x1	27	65.799
14270_x1	16	5.45
59986_x1	9	104.874
53224_x1	15	6.013
41494_x1	1	128.547
43843_x1	34	64.768
14841_x1	4	123.112
58606_x1	12	135.378
7436_x1	15	13.418
67090_x1	1	128.547
61888_x1	28	33.075
44102_x1	12	71.111
Oke_U1012-60_x1	9	108.094
4982_x1	9	83.01
62116_x1	33	66.64
77230_x1	28	65.966
3267_x1	27	64.51
5239_x1	16	22.765
58600_x1	4	12.86
71941_x1	6	52.488
33911_x1	3	144.18
7817_x1	6	149.07
67651_x1	27	61.912
58759_x1	26	10.432
8448_x1	18	84.744
2421_x1	8	77.303
22702_x1	12	84.008
76980_x1	15	27.054
14495_x1	9	129.089
25602_x1	12	51.352
61199_x1	19	13.266
Oke_nc2b-148_x1	14	46.029
44938_x1	16	0
52543_x1	9	109.239
66800_x1	25	24.555
62049_x1	22	0
59023_x1	15	6.585
52545_x1	6	1.679
5033_x1	25	70.731
8257_x1	5	96.147
19614_x1	19	68.564
377_x1	16	60.307
69649_x1	8	79.018
47841_x1	13	54.351
17950_x1	24	12.943
52547_x1	1	7.286
65546_x1	29	37.87
6929_x1	8	26.511
13212_x1	14	22.411
50048_x1	21	114.638
16313_x1	8	0.625
34636_x1	15	2.873
30610_x1	20	0
11642_x1	36	48.37
53199_x1	12	140.89
76768_x1	22	39.93
62353_x1	2	155.858
66408_x1	10	75.311
61858_x1	18	19.279
21178_x1	2	28.696
50889_x1	27	54.349
44431_x1	8	104.538
21662_x1	8	5.205
20210_x1	32	77.545
3174_x1	17	37.661
49473_x1	25	1.73
2919_x1	8	4.055
52412_x1	1	55.35
76983_x1	32	53.609
6395_x1	31	6.183
56695_x1	19	30.888
6717_x1	21	113.439
72552_x1	22	32.72
9936_x1	5	68.604
19027_x1	1	81.752
72245_x1	32	60.462
52807_x1	32	47.217
5813_x1	27	13.756
35133_x1	5	9.634
80092_x1	12	2.723
6711_x1	14	97.506
1915_x1	27	14.101
50682_x1	17	1.064
40956_x1	26	19.04
57388_x1	30	0
40302_x1	35	87.459
62570_x1	2	94.097
85073_x1	9	48.238
43936_x1	4	16.989
61749_x1	11	94.112
6081_x1	29	7.92
10840_x1	16	72.417
63866_x1	22	57.063
20170_x1	3	7.784
59126_x1	18	63.025
55466_x1	29	49.69
52731_x1	23	9.84
78280_x1	13	62.393
8285_x1	16	4.823
19932_x1	28	0
48090_x1	18	1.82
26171_x1	33	16.205
71816_x1	11	0.98
53381_x1	32	85.675
64064_x1	34	11.418
72639_x1	22	0
54224_x1	37	60.569
50764_x1	9	18.487
2106_x1	32	57.693
59238_x1	23	67.832
44619_x1	16	62.313
73515_x1	20	3.415
56462_x1	1	65.06
69747_x1	8	21.918
71559_x1	33	70.806
41175_x1	29	64.391
4070_x1	25	10.032
63098_x1	30	21.458
61017_x1	1	128.547
41805_x1	10	9.913
49449_x1	21	12.553
58650_x1	11	40.131
46559_x1	11	72.474
4801_x1	34	61.552
41629_x1	12	132.008
53428_x1	5	81.354
48440_x1	30	17.122
53732_x1	23	61.171
1922_x1	24	22.401
74490_x1	31	49.322
25995_x1	2	1.469
64062_x1	1	5.496
68870_x1	26	28.449
11737_x1	27	63.402
55469_x1	3	11.776
132_x1	16	71.323
77813_x1	10	0
79143_x1	2	119.939
51653_x1	10	3.832
21911_x1	18	19.279
8548_x1	14	31.448
66442_x1	24	41.658
8415_x1	17	0.888
71295_x1	8	21.548
22782_x1	11	22.906
49173_x1	5	69.971
76239_x1	13	69.615
69741_x1	3	105.27
54697_x1	17	3.868
81406_x1	5	91.558
45282_x1	14	27.194
2270_x1	16	0.834
8132_x1	5	67.198
20296_x1	11	7.624
20759_x1	16	97.158
50445_x1	16	97.602
65325_x1	14	43.319
86521_x1	21	136.201
11935_x1	11	20.409
56222_x1	1	4.923
35410_x1	9	88.089
65858_x1	2	2.536
73076_x1	14	44.19
22123_x1	4	39.511
48589_x1	2	118.225
50656_x1	10	79.729
55145_x1	23	57.942
