LEPname	paper1_LG	cM_rounded	left_right	y
7992	13	53	left_diff	0.467065868263
9056	13	53	left_diff	0.482993197279
9117	13	53	left_diff	0.458598726115
9202	13	53	left_diff	0.457317073171
3715	14	53	left_diff	0.473372781065
8920	14	53	left_diff	0.475609756098
3436	14	55	left_diff	0.5
8107	14	55	left_diff	0.488372093023
8966	14	55	left_diff	0.487804878049
617	14	57	left_diff	0.505952380952
1668	14	57	left_diff	0.511764705882
4448	14	57	left_diff	0.5
6281	14	57	left_diff	0.496932515337
8199	14	57	left_diff	0.5
11479	14	57	left_diff	0.502923976608
11552	14	57	left_diff	0.512048192771
156	14	59	left_diff	0.513333333333
2545	14	59	left_diff	0.518518518519
4736	14	59	left_diff	0.517647058824
6676	14	62	left_diff	0.522012578616
10394	14	63	left_diff	0.527950310559
268	19	59	left_diff	0.472727272727
2216	19	59	left_diff	0.487804878049
3060	19	59	left_diff	0.473372781065
5489	19	59	left_diff	0.490909090909
7272	19	59	left_diff	0.471698113208
990	19	60	left_diff	0.482142857143
1817	19	60	left_diff	0.48427672956
4060	19	60	left_diff	0.479289940828
4486	19	60	left_diff	0.5
6586	19	60	left_diff	0.485207100592
8934	19	60	left_diff	0.490797546012
3689	19	61	left_diff	0.485549132948
4667	19	61	left_diff	0.491228070175
612	19	63	left_diff	0.494117647059
7387	19	63	left_diff	0.485207100592
3321	28	50	left_diff	0.453987730061
2078	28	52	left_diff	0.472049689441
2478	28	52	left_diff	0.479289940828
2972	28	52	left_diff	0.465838509317
4581	28	52	left_diff	0.473372781065
5115	28	52	left_diff	0.467948717949
5450	28	52	left_diff	0.464285714286
6978	28	52	left_diff	0.456140350877
10725	28	52	left_diff	0.478260869565
491	28	54	left_diff	0.461077844311
6590	28	54	left_diff	0.476470588235
10158	28	54	left_diff	0.491017964072
2504	28	58	left_diff	0.451219512195
8168	29	52	left_diff	0.455128205128
2561	29	54	left_diff	0.452380952381
9515	29	54	left_diff	0.469512195122
9830	29	54	left_diff	0.455089820359
5306	30	58	left_diff	0.464968152866
11478	30	58	left_diff	0.459770114943
3392	30	59	left_diff	0.455089820359
7210	30	59	left_diff	0.454545454545
2167	30	61	left_diff	0.508982035928
4637	30	62	left_diff	0.505952380952
5243	30	62	left_diff	0.488095238095
9680	30	62	left_diff	0.49696969697
10752	30	62	left_diff	0.491228070175
11331	30	62	left_diff	0.46875
6305	30	64	left_diff	0.488095238095
3132	32	69	left_diff	0.459302325581
8988	32	69	left_diff	0.459770114943
11481	32	69	left_diff	0.454545454545
4234	32	70	left_diff	0.457831325301
7369	32	70	left_diff	0.453333333333
8054	32	70	left_diff	0.457516339869
10167	32	70	left_diff	0.458333333333
2789	32	72	left_diff	0.490909090909
4323	32	72	left_diff	0.473053892216
5068	32	72	left_diff	0.470588235294
7179	32	72	left_diff	0.464705882353
7285	32	72	left_diff	0.480519480519
7547	32	72	left_diff	0.479768786127
8779	32	72	left_diff	0.484848484848
9185	32	73	left_diff	0.452941176471
11202	32	73	left_diff	0.467455621302
991	34	48	left_diff	0.462427745665
3507	34	48	left_diff	0.46875
7302	34	50	left_diff	0.45625
8731	34	50	left_diff	0.476470588235
4591	34	51	left_diff	0.476744186047
6929	34	51	left_diff	0.45625
7723	34	51	left_diff	0.481012658228
9077	34	51	left_diff	0.473372781065
1424	34	52	left_diff	0.473372781065
4075	34	52	left_diff	0.464285714286
4756	34	52	left_diff	0.470238095238
4914	34	52	left_diff	0.482352941176
6594	34	52	left_diff	0.466666666667
9652	34	52	left_diff	0.476470588235
9993	34	52	left_diff	0.48125
11434	34	52	left_diff	0.482142857143
7473	34	53	left_diff	0.488235294118
9004	34	53	left_diff	0.477987421384
2034	34	54	left_diff	0.506024096386
977	34	56	left_diff	0.47619047619
9423	34	56	left_diff	0.491329479769
1070	35	48	left_diff	0.462962962963
8680	35	48	left_diff	0.452941176471
