Linkage Group	Ssa Genome Scaffold	Map Start (cM)	Map End (cM)	Scaffold Start (bp)	Scaffold End (bp)	Map Distance (bp)	Scaffold Distance (bp)	bp/cM	Loci Aligned	Orientation	Ssa Chromosomal Assignment
Ots09	jcf1000544687_0-433107	111.88	113.35	288513	364468	1.47	75955	51,670.07	4	-	NOT FOUND
Ots09	jcf1001224225_0-0	113.35	119.43	1194	7123	6.08	5929	975.16	3	+	NOT FOUND
Ots09	ccf1000000127_0-0	114.45	115.79	243376	675706	1.34	432330	322,634.33	5	-	NOT FOUND
Ots10	jcf1000040714_0-0	1.6	3.21	178162	472729	1.61	294567	182,960.87	4	+	NOT FOUND
Ots10	jcf1001006045_0-0	12.74	51.28	298800	13233408	38.54	12934608	335,615.15	17	-	NOT FOUND
Ots10	ccf1000000011_0-0	54.04	60.86	893549	9954729	6.82	9061180	1,328,618.77	8	+	Ssa14
Ots10	jcf1000962273_0-0	60.86	87.09	75777	8412473	26.23	8336696	317,830.58	13	-	Ssa14
Ots10	jcf1000416312_0-0	87.79	88.87	1191520	2738540	1.08	1547020	1,432,425.93	3	+	Ssa14
Ots10	jcf1000312334_0-0	100.8	118.3	114420	4869576	17.5	4755156	271,723.20	13	-	Ssa14
Ots10	jcf1000728097_0-0	113.92	118.3	216710	2240980	4.38	2024270	462,162.10	4	+	Ssa14
Ots11	ccf1000000551_0-0	11	11.49	7370	143919	0.49	136549	278,671.43	3	-	Ssa08
Ots11	ccf1000002034_0-0	11	11.49	1492434	1710747	0.49	218313	445,536.73	4	+	NOT FOUND
Ots11	jcf1000113678_0-2351175	26.21	27.51	460492	1374294	1.3	913802	702,924.62	4	-	Ssa08
Ots11	ccf1000000046_0-0	34.55	39.36	573938	2937402	4.81	2363464	491,364.66	4	+	Ssa08
Ots11	jcf1000749679_0-0	39.36	42.72	1030439	3460189	3.36	2429750	723,139.88	4	-	Ssa04
Ots11	jcf1001131303_0-0	42.72	49.26	406068	4971282	6.54	4565214	698,044.95	8	+	Ssa01
Ots11	jcf1000744559_0-0	53.25	71.31	47801	4840395	18.06	4792594	265,370.65	9	-	Ssa01
Ots11	jcf1000145312_0-0	71.82	77.76	420275	3934176	5.94	3513901	591,565.82	12	+	Ssa01
Ots11	ccf1000000027_0-0	81.2	87.37	152469	4970928	6.17	4818459	780,949.59	15	-	Ssa01
Ots11	ccf1000000053_0-0	91.42	92.49	1255866	2422692	1.07	1166826	1,090,491.59	7	-	Ssa01
Ots11	jcf1000307606_0-0	97.06	97.06	1233822	1595222	0	361400	NA	4	NA	Ssa01
Ots11	jcf1001124806_0-0	97.06	97.06	59442	485801	0	426359	NA	3	NA	Ssa01
Ots12	jcf1000191194_164133-1614997	3.54	5.62	626669	1417389	2.08	790720	380,153.85	4	+	Ssa20
Ots12	jcf1001206279_0-0	5.61	9.89	77140	3452748	4.28	3375608	788,693.46	9	-	Ssa20
Ots12	ccf1000000036_0-0	9.39	17.56	688383	4722964	8.17	4034581	493,828.76	3	+	Ssa20
Ots12	ccf1000000054_0-0	10.07	20.85	1153026	3356910	10.78	2203884	204,441.93	8	-	Ssa20
Ots12	jcf1000787962_0-0	13.45	16.53	237215	4046717	3.08	3809502	1,236,851.30	10	+	Ssa20
Ots12	jcf1000755254_0-0	15.49	30.59	914063	6589832	15.1	5675769	375,878.74	13	+	NOT FOUND
Ots12	ccf1000002037_0-0	36.73	57.31	64847	10630474	20.58	10565627	513,392.95	14	+	NOT FOUND
Ots12	jcf1000907213_0-0	59.42	72.5	582054	11274812	13.08	10692758	817,489.14	11	+	NOT FOUND
Ots12	ccf1000000016_0-0	72.5	98.28	210194	4721075	25.78	4510881	174,975.99	3	-	NOT FOUND
Ots12	ccf1000000042_0-0	88.37	98.28	179257	4500736	9.91	4321479	436,072.55	13	-	Ssa11
Ots12	jcf1000955434_0-0	99.63	100.3	242589	1179086	0.67	936497	1,397,756.72	3	+	Ssa11
Ots12	jcf1000059760_0-0	100.3	100.3	223532	448661	0	225129	NA	4	NA	NOT FOUND
Ots12	jcf1000457308_0-0	100.54	101.31	325567	1440898	0.77	1115331	1,448,481.82	3	+	Ssa26
Ots12	jcf1000487891_0-0	107.07	107.07	2699804	3229105	0	529301	NA	4	NA	Ssa26
Ots12	jcf1000163947_0-0	109.6	119.42	38664	1529053	9.82	1490389	151,770.77	5	-	NOT FOUND
Ots13	jcf1000093031_126142-1520136	1.53	2.44	861955	1236854	0.91	374899	411,976.92	4	-	Ssa27
Ots13	jcf1001183941_0-0	2.44	8.32	51848	492788	5.88	440940	74,989.80	4	+	Ssa27
Ots13	jcf1000307869_659676-2048767	12.93	14.95	179961	1094946	2.02	914985	452,962.87	5	-	Ssa27
Ots13	ccf1000000023_0-0	29.03	47.37	706005	6064025	18.34	5358020	292,149.40	15	+	NOT FOUND
Ots13	jcf1000077921_147271-1938568	45.79	49.03	346601	1563015	3.24	1216414	375,436.42	4	+	NOT FOUND
Ots13	jcf1000466256_0-0	51.49	57.83	1332783	4866369	6.34	3533586	557,347.95	11	-	Ssa27
Ots13	jcf1001079169_0-0	69.48	86.89	273651	6486378	17.41	6212727	356,848.19	15	+	Ssa27
Ots13	jcf1000693398_0-0	92.19	95.29	4199651	4571722	3.1	372071	120,022.90	3	-	Ssa09
Ots13	ccf1000000103_0-0	95.29	96.11	600668	1234891	0.82	634223	773,442.68	4	-	Ssa20
Ots13	jcf1000051702_0-0	96.11	100.69	51162	5817212	4.58	5766050	1,258,962.88	9	-	NOT FOUND
Ots13	ccf1000000128_0-0	105.18	106.32	317839	991498	1.14	673659	590,928.95	5	+	NOT FOUND
Ots14	ccf1000000075_0-0	27.01	30.46	214795	2090325	3.45	1875530	543,631.88	3	+	NOT FOUND
Ots14	ccf1000000050_0-0	30.46	41.94	629815	3596786	11.48	2966971	258,446.95	3	-	Ssa17
Ots14	jcf1001158418_0-0	34.97	41.94	516694	2440960	6.97	1924266	276,078.34	10	+	Ssa18
Ots14	jcf1000420974_238193-8670878	43.32	67.16	972591	7513520	23.84	6540929	274,367.83	13	+	NOT FOUND
Ots14	jcf1000612788_0-0	49.5	60.6	693159	3481716	11.1	2788557	251,221.35	5	+	Ssa17
Ots14	jcf1000453260_0-0	67.6	68.04	2065960	3730967	0.44	1665007	3,784,106.82	4	+	Ssa09
Ots14	jcf1000963531_0-0	78.72	96.36	705139	6682750	17.64	5977611	338,866.84	13	-	Ssa09
Ots14	jcf1001079169_0-0	86.21	87.84	3237352	5774266	1.63	2536914	1,556,388.96	3	+	Ssa20
Ots14	jcf1000693398_0-0	101.03	102.97	630719	4571722	1.94	3941003	2,031,444.85	12	-	Ssa09
Ots14	ccf1000000035_0-0	108.48	111.81	504907	3526548	3.33	3021641	907,399.70	3	-	Ssa09
Ots14	jcf1000413715_0-0	116.71	117.72	109360	1746578	1.01	1637218	1,621,007.92	4	-	Ssa09
Ots15	ccf1000000161_0-0	8.07	8.51	54664	653705	0.44	599041	1,361,456.82	3	-	Ssa17
Ots15	ccf1000000479_0-0	9.93	10.28	5746	60813	0.35	55067	157,334.29	3	+	NOT FOUND
Ots15	jcf1000397270_0-0	32.45	33.48	691924	1620828	1.03	928904	901,848.54	3	+	NOT FOUND
Ots15	ccf1000000058_0-0	40.68	48.18	782264	3119289	7.5	2337025	311,603.33	7	+	NOT FOUND
Ots15	jcf1000192158_0-0	49.12	49.12	2366342	2935762	0	569420	NA	3	NA	NOT FOUND
Ots15	jcf1000731791_143256-4000491	56.2	60.86	293008	2135669	4.66	1842661	395,420.82	5	+	NOT FOUND
Ots15	jcf1000450822_0-0	69.96	69.96	533655	663477	0	129822	NA	3	NA	NOT FOUND
Ots15	jcf1001169719_0-0	77.44	79.93	1862963	3259214	2.49	1396251	560,743.37	4	+	Ssa07
Ots15	jcf1001006045_0-0	77.44	90.5	3667931	11585539	13.06	7917608	606,248.70	4	-	NOT FOUND
Ots15	ccf1000000078_0-0	90.5	92.8	397921	1363214	2.3	965293	419,692.61	3	-	Ssa07
Ots16	jcf1000800090_0-0	2.64	12.09	361876	2125123	9.45	1763247	186,586.98	6	-	Ssa19
Ots16	jcf1000906148_0-0	2.64	12.09	121630	948387	9.45	826757	87,487.51	4	-	Ssa19
Ots16	ccf1000000018_0-0	22.16	40.85	163367	6376198	18.69	6212831	332,414.71	11	+	Ssa19
Ots16	ccf1000000070_0-0	40.85	43.58	290127	2540444	2.73	2250317	824,291.94	3	-	Ssa19
Ots16	ccf1000000059_0-0	55.04	57.8	51123	3165511	2.76	3114388	1,128,401.45	4	-	Ssa19
Ots16	jcf1001079454_0-0	57.12	64.02	203518	1769068	6.9	1565550	226,891.30	6	+	Ssa15
Ots16	jcf1000500521_0-0	66.53	70.67	479027	1480522	4.14	1001495	241,907.00	3	+	Ssa15
Ots16	jcf1000553757_0-0	75.89	85.86	452089	5408598	9.97	4956509	497,142.33	8	-	NOT FOUND
Ots16	jcf1000788386_0-0	90.06	95.48	4019121	6860899	5.42	2841778	524,313.28	12	-	NOT FOUND
Ots16	ccf1000000082_0-0	100.8	100.8	736108	1745580	0	1009472	NA	6	NA	Ssa15
Ots16	jcf1000610090_0-0	108.04	109.76	343859	1571240	1.72	1227381	713,593.60	5	+	NOT FOUND
Ots17	jcf1000120929_0-0	2.95	8.74	529756	3415238	5.79	2885482	498,356.13	4	-	Ssa04
Ots17	ccf1000000068_0-0	11.2	21.39	60453	2113300	10.19	2052847	201,457.02	3	-	Ssa17
Ots17	ccf1000000060_0-0	18.93	40.55	433108	3304613	21.62	2871505	132,817.07	8	+	NOT FOUND
Ots17	jcf1000456422_0-2947653	56.12	56.75	427884	2028835	0.63	1600951	2,541,192.06	5	-	NOT FOUND
Ots17	jcf1000873074_0-0	56.75	58.21	783454	1628757	1.46	845303	578,974.66	3	+	Ssa17
Ots18	jcf1000599557_0-0	4.3	38.87	201521	11047757	34.57	10846236	313,747.06	28	+	NOT FOUND
Ots18	jcf1000372791_0-0	43.53	45.17	72578	1749154	1.64	1676576	1,022,302.44	6	+	NOT FOUND
Ots18	jcf1000459108_0-0	48.82	52.77	809016	1111655	3.95	302639	76,617.47	9	-	Ssa06
Ots19	ccf1000002029_0-0	2.6	50.77	1076999	16333360	48.17	15256361	213,734.39	38	-	Ssa10
Ots19	jcf1000186249_0-0	12.61	17.57	639545	3565075	4.96	2925530	589,824.60	6	+	Ssa10
Ots19	jcf1000908206_0-0	53.12	56.75	780860	2022001	3.63	1241141	341,912.12	5	+	Ssa10
Ots19	jcf1000127875_0-0	60.06	60.59	525673	1402300	0.53	876627	1,654,013.21	5	-	Ssa10
Ots19	ccf1000000033_0-0	61.93	66.4	446246	5018875	4.47	4572629	1,022,959.51	5	-	Ssa10
Ots19	jcf1000425344_575555-5544101	63.24	67.86	601651	4714148	4.62	4112497	890,150.87	14	-	Ssa10
Ots19	jcf1000675607_0-0	66.4	71.75	948427	4919151	5.35	3970724	742,191.40	10	+	Ssa10
Ots20	jcf1001180488_0-0	0	13.75	947803	2161975	13.75	1214172	88,303.42	4	+	Ssa01
Ots20	jcf1000802572_0-0	11.72	45.81	153864	8948791	34.09	8794927	257,991.41	31	+	Ssa01
Ots20	ccf1000000051_0-0	52.29	54.28	1320621	3823540	1.99	2502919	1,257,748.24	13	-	Ssa01
Ots20	ccf1000000073_0-0	58.53	62.82	470117	2216261	4.29	1746144	407,026.57	6	+	Ssa01
Ots20	jcf1000570243_0-2530371	67.11	72.06	2362068	2518791	4.95	156723	31,661.21	3	+	NOT FOUND
Ots20	jcf1000860129_0-0	70.33	72.06	594597	3857024	1.73	3262427	1,885,795.95	5	-	Ssa01
Ots21	jcf1000656781_0-0	4.76	6.14	669680	3122738	1.38	2453058	1,777,578.26	4	-	Ssa05
Ots21	jcf1000428558_0-0	34.31	51.48	371689	6315219	17.17	5943530	346,157.83	16	-	Ssa05
Ots21	ccf1000000099_0-0	52.97	52.97	429741	1350058	0	920317	NA	3	NA	Ssa05
Ots21	jcf1000292055_0-0	52.97	59.24	103264	3151220	6.27	3047956	486,117.38	4	+	Ssa05
Ots21	ccf1000000025_0-0	59.24	61.79	30958	6134567	2.55	6103609	2,393,572.16	6	+	Ssa05
Ots22	jcf1000464719_0-0	2.36	5.97	110898	2532044	3.61	2421146	670,677.56	4	-	NOT FOUND
Ots22	jcf1000580255_0-0	3.55	5.65	902265	2335327	2.1	1433062	682,410.48	3	+	Ssa13
Ots22	ccf1000000005_0-0	8.4	52.84	182583	11364009	44.44	11181426	251,607.25	32	+	NOT FOUND
Ots22	jcf1000817325_0-0	52.84	56.99	1342959	5950257	4.15	4607298	1,110,192.29	10	-	Ssa13
Ots22	jcf1000363150_0-0	56.73	60.35	41776	3351310	3.62	3309534	914,235.91	8	+	NOT FOUND
Ots22	jcf1000106058_0-0	60.51	65	49832	2394946	4.49	2345114	522,297.10	7	+	Ssa13
Ots22	ccf1000000188_0-0	63.49	66.4	168537	531362	2.91	362825	124,682.13	4	-	Ssa13
Ots23	jcf1000364577_0-0	6.49	33.52	2427909	8464860	27.03	6036951	223,342.62	15	+	Ssa05
Ots23	ccf1000000021_0-0	28.61	40.69	549319	4823288	12.08	4273969	353,805.38	6	-	NOT FOUND
Ots23	jcf1000146104_0-0	37.52	43.36	245288	3422871	5.84	3177583	544,106.68	12	+	Ssa05
Ots23	jcf1000621289_728154-3536344	43.36	46.74	165563	2058700	3.38	1893137	560,099.70	8	-	NOT FOUND
Ots23	ccf1000000097_0-0	51.22	51.22	567638	856010	0	288372	NA	3	NA	NOT FOUND
Ots23	ccf1000000057_0-0	53.67	58.09	343034	3567570	4.42	3224536	729,533.03	5	-	Ssa02
Ots24	ccf1000000006_0-0	0.67	34	789858	10489793	33.33	9699935	291,027.15	16	+	Ssa19
Ots24	ccf1000000037_0-0	33.29	47.45	232308	4783136	14.16	4550828	321,386.16	13	-	Ssa19
Ots25	jcf1001031098_0-0	0	58.08	257300	17959235	58.08	17701935	304,785.38	41	+	NOT FOUND
Ots25	ccf1000000043_0-0	57.07	63.03	600776	3907322	5.96	3306546	554,789.60	6	+	Ssa28
Ots25	ccf1000000064_0-0	64.29	65.06	225447	2041850	0.77	1816403	2,358,964.94	3	+	Ssa28
Ots26	jcf1000875761_74291-4377970	4.53	4.53	744126	3228645	0	2484519	6,538,207.89	8	NA	Ssa21
Ots26	ccf1000000019_0-0	5.71	36.89	374598	7031273	31.18	6656675	213,491.82	14	-	NOT FOUND
Ots26	ccf1000000032_0-0	40	48.63	638924	4676040	8.63	4037116	467,800.23	13	+	Ssa21
Ots26	jcf1000117836_289506-6671323	54.71	62.35	1761624	4773964	7.64	3012340	394,285.34	3	-	NOT FOUND
Ots26	ccf1000000031_0-0	59.44	62.35	78901	4714270	2.91	4635369	1,592,910.31	8	+	Ssa21
