population_type DH
population_name CMUW10X_0001
distance_function kosambi
cut_off_p_value .0001
no_map_dist 15.0
no_map_size 2
missing_threshold .25
estimation_before_clustering yes
detect_bad_data yes
objective_function ML
number_of_loci 5052
number_of_individual 34

locus_name	CMUW10X01H_0009	CMUW10X01H_0011	CMUW10X01H_0012	CMUW10X01H_0013	CMUW10X01H_0016	CMUW10X01H_0019	CMUW10X01H_0020	CMUW10X01H_0021	CMUW10X01H_0023	CMUW10X01H_0024	CMUW10X01H_0030	CMUW10X01H_0031	CMUW10X01H_0035	CMUW10X01H_0044	CMUW10X01H_0047	CMUW10X01H_0058	CMUW10X01H_0062	CMUW10X01H_0063	CMUW10X01H_0064	CMUW10X01H_0067	CMUW10X01H_0068	CMUW10X01H_0069	CMUW10X01H_0072	CMUW10X01H_0073	CMUW10X01H_0074	CMUW10X01H_0077	CMUW10X01H_0079	CMUW10X01H_0080	CMUW10X01H_0083	CMUW10X01H_0085	CMUW10X01H_0086	CMUW10X01H_0087	CMUW10X01H_0093	CMUW10X01H_0095	
20699_x1	b	b	a	a	b	a	a	b	a	b	b	b	b	b	b	-	a	a	b	a	a	b	b	b	b	a	a	a	b	b	b	b	a	a	
64991_x1	b	a	a	a	a	a	a	b	a	b	b	b	b	a	a	b	b	b	b	a	b	a	b	a	b	b	b	a	b	b	b	a	a	b	
49984_x1	a	b	-	a	a	b	b	b	a	a	a	a	a	a	a	b	b	a	a	a	b	-	-	b	-	b	b	b	b	b	a	b	b	b	
1636_x1	-	b	b	b	a	a	b	b	a	b	b	-	b	-	a	a	a	a	a	a	-	-	-	a	a	a	a	b	a	a	-	b	b	-	
76708_x1	-	b	-	b	a	b	-	a	b	b	b	a	a	a	a	b	a	b	b	a	b	b	b	b	b	b	a	b	b	a	b	a	a	b	
48158_x1	b	a	b	b	b	-	b	a	a	b	b	-	a	a	b	b	a	-	a	b	a	b	b	a	b	a	a	a	a	b	a	b	b	a	
82775_x1	-	-	a	b	a	a	a	b	b	b	a	-	-	b	a	b	a	a	a	-	b	b	b	-	a	b	a	a	b	a	b	b	-	a	
46888_x1	a	b	b	a	a	b	b	a	b	a	-	-	a	-	a	-	a	a	a	b	a	-	-	a	b	a	b	b	b	a	b	a	a	b	
3866_x1	b	b	b	b	b	b	a	b	a	b	a	b	b	-	b	b	a	a	b	-	a	-	a	-	a	a	b	b	a	a	b	a	a	b	
48874_x1	-	b	b	a	b	b	-	a	b	a	b	b	b	b	b	b	-	a	a	a	b	-	b	b	a	b	b	a	b	a	a	b	a	a	
37233_x1	b	a	a	a	b	a	b	b	b	a	b	-	-	-	b	-	b	a	b	-	a	b	a	-	b	b	a	a	b	-	b	b	-	a	
Oke_NHERF-123_x1	b	a	a	b	b	a	b	a	a	b	a	b	a	a	b	b	a	b	a	a	b	b	-	b	a	-	a	a	a	b	a	b	a	-	
49710_x1	a	b	b	a	b	a	a	a	b	a	b	a	b	-	b	b	b	b	b	a	-	b	b	b	b	b	b	a	a	a	a	a	a	a	
5422_x1	-	a	b	a	b	b	b	a	a	a	b	a	b	a	b	a	b	b	-	b	a	a	a	b	b	a	b	b	a	b	a	a	a	b	
29616_x1	a	a	a	b	b	b	b	-	b	a	a	b	a	-	a	a	b	a	b	b	b	b	a	-	b	b	b	b	b	a	b	b	b	b	
3761_x1	b	b	a	a	b	b	b	a	a	a	b	a	b	a	a	a	b	a	b	a	-	b	a	b	b	b	a	a	a	a	a	a	b	b	
17981_x1	b	a	a	b	b	a	b	a	a	b	a	b	a	a	b	b	a	b	a	a	b	b	a	b	a	a	a	a	a	b	-	b	a	b	
51937_x1	b	b	a	b	b	b	a	b	a	a	b	b	a	-	b	-	a	a	a	a	-	-	b	a	a	a	a	a	a	b	a	b	a	b	
43658_x1	a	a	-	-	a	b	a	a	b	a	b	a	a	-	a	a	b	-	a	a	-	a	a	a	-	a	a	a	a	b	a	a	-	b	
22166_x1	-	b	b	a	a	b	a	a	b	b	a	-	a	a	a	a	a	b	a	b	b	a	b	a	b	b	b	b	b	b	a	a	a	a	
39046_x1	a	b	a	a	b	a	b	b	a	a	a	a	a	b	b	b	a	b	b	b	a	-	a	a	b	b	a	b	b	a	b	a	b	b	
5333_x1	a	b	b	a	b	a	b	b	a	a	b	a	b	b	a	b	b	b	a	b	a	b	-	a	b	a	b	a	b	a	b	a	a	a	
3407_x1	a	b	b	-	b	a	b	b	a	a	b	-	a	b	a	b	-	b	b	a	a	a	-	a	b	b	a	b	b	a	b	a	-	b	
33556_x1	b	a	-	-	b	b	b	b	a	b	b	a	b	a	b	a	a	a	b	a	a	a	b	a	a	b	b	b	b	b	b	b	-	a	
51939_x1	b	b	b	b	b	b	a	b	a	b	b	b	b	a	b	-	a	-	-	b	a	-	a	-	b	b	b	a	b	a	b	b	b	b	
40028_x1	a	b	b	b	a	b	b	a	-	b	b	a	a	b	a	b	b	b	a	b	a	b	a	a	b	a	b	b	b	b	a	b	a	b	
34869_x1	b	b	a	a	b	a	a	-	a	b	-	a	a	b	a	b	a	b	b	b	b	b	b	b	b	b	a	a	b	b	a	a	b	b	
65477_x1	a	a	b	a	b	a	a	a	b	a	b	a	a	b	b	b	b	b	b	a	-	b	b	b	b	b	b	a	a	a	a	a	a	a	
81388_x1	-	a	b	b	a	b	b	b	a	a	a	a	a	a	b	b	b	a	b	a	b	a	a	-	a	b	b	a	b	a	a	b	b	b	
72535_x1	a	a	b	b	b	a	a	b	a	a	b	-	b	b	a	a	b	b	a	b	b	-	b	a	b	b	a	a	a	b	a	a	b	b	
74055_x1	b	-	a	b	a	a	-	-	a	a	-	-	-	a	b	a	a	a	a	a	b	b	a	a	a	b	a	a	b	b	a	-	b	a	
34822_x1	a	-	b	b	a	b	b	a	a	b	a	a	a	b	-	b	b	b	a	-	b	b	-	-	b	a	b	b	b	b	b	a	a	b	
17784_x1	a	a	a	b	-	b	a	b	a	a	b	b	a	a	b	a	a	a	a	-	-	-	b	-	b	a	a	a	a	b	a	b	b	a	
7712_x1	a	a	b	a	a	b	a	a	b	a	-	a	a	b	b	b	a	a	a	b	b	b	b	a	a	a	b	b	a	b	a	b	b	b	
57553_x1	b	a	a	a	b	a	a	b	b	a	b	b	b	a	b	-	a	a	b	-	b	-	b	a	a	b	a	a	-	a	a	-	b	a	
48408_x1	a	a	a	a	a	a	-	-	b	a	-	a	a	a	b	b	b	b	b	b	b	a	a	b	b	a	b	b	a	-	a	a	b	a	
88201_x1	a	b	b	-	b	a	b	a	b	b	b	b	a	b	a	b	-	b	b	b	a	b	b	b	b	b	b	b	a	a	b	a	a	a	
50914_x1	b	a	b	b	a	b	a	a	b	b	b	b	b	a	a	-	b	a	a	a	-	b	b	b	a	a	b	a	a	b	a	b	a	a	
43945_x1	b	a	-	b	b	b	b	a	a	b	b	a	a	a	b	b	a	b	a	b	a	-	b	a	b	a	a	a	b	b	-	b	b	a	
6536_x1	b	a	a	a	a	a	a	b	a	b	b	-	-	b	a	-	b	b	b	a	a	a	b	-	b	b	b	a	b	b	b	a	a	b	
24809_x1	a	a	b	-	b	b	-	a	b	b	a	a	a	a	a	b	a	-	b	b	a	a	b	-	-	b	b	a	b	b	a	a	a	b	
49211_x1	a	b	a	-	b	a	a	a	b	b	b	b	b	b	a	a	a	b	a	b	a	b	b	b	b	a	a	b	a	b	-	a	-	a	
10468_x1	a	a	b	a	b	b	-	a	b	b	b	b	a	b	b	a	b	b	b	a	b	b	-	b	-	b	a	b	a	-	-	b	b	a	
57409_x1	a	b	a	a	a	b	a	b	a	b	-	b	b	a	b	a	a	b	a	b	a	a	a	b	b	b	b	b	b	a	a	a	b	a	
29648_x1	b	b	b	b	b	a	b	a	b	b	-	b	a	a	a	a	a	a	a	b	b	b	a	-	a	b	b	a	a	b	b	b	b	b	
17658_x1	a	b	a	b	a	-	b	b	b	a	a	b	b	-	b	a	a	a	a	-	a	b	-	b	b	-	a	-	a	a	-	a	-	a	
41562_x1	a	b	b	b	b	b	b	a	b	a	a	a	a	a	b	a	a	a	a	b	a	b	a	b	a	a	a	b	a	a	a	b	b	a	
47339_x1	b	b	-	a	b	a	a	b	a	b	-	b	b	-	b	a	a	a	b	b	a	b	-	b	b	a	a	a	b	b	b	a	a	a	
68168_x1	a	a	b	a	b	a	a	a	b	b	a	b	a	b	a	a	a	a	a	b	b	-	a	b	b	a	b	b	a	b	a	b	b	a	
68409_x1	b	b	b	b	-	b	-	b	b	a	-	a	b	a	b	a	b	b	b	b	a	b	a	a	a	b	a	a	a	b	a	b	a	a	
70462_x1	-	b	b	a	a	a	a	a	b	b	-	b	b	b	b	a	b	a	a	a	b	a	a	a	b	b	b	b	a	a	b	a	a	b	
9279_x1	a	b	a	a	b	a	-	a	a	b	a	-	a	a	-	b	a	a	a	a	a	a	b	b	b	a	b	b	b	b	-	a	b	b	
15402_x1	b	a	b	a	a	a	a	a	b	b	b	b	a	a	b	-	a	b	b	b	-	b	b	b	b	b	b	b	b	b	a	a	a	b	
59373_x1	a	b	a	-	a	-	-	b	b	a	-	b	a	-	a	b	b	a	b	a	-	a	b	b	a	b	b	a	a	b	a	b	-	b	
43911_x1	a	-	b	b	a	b	b	b	b	a	b	a	a	a	a	b	b	a	a	a	-	a	a	-	a	a	b	b	b	b	b	a	b	b	
65726_x1	b	b	b	b	-	a	b	a	b	a	a	b	b	-	b	b	a	a	a	-	b	b	a	a	a	b	b	b	a	b	b	a	a	b	
74441_x1	b	a	-	b	a	b	a	a	b	b	b	b	a	-	a	a	a	a	b	a	b	-	b	b	b	b	b	b	a	b	a	-	a	a	
47248_x1	a	b	a	b	b	a	-	a	a	a	a	a	a	b	-	b	b	b	b	b	-	b	a	b	b	a	a	a	a	b	b	a	b	a	
69270_x1	-	a	b	a	b	a	-	a	b	a	b	a	a	b	b	b	b	b	b	-	a	b	b	b	b	b	b	a	a	a	a	a	a	a	
19050_x1	a	b	a	a	b	b	b	b	a	b	b	a	a	-	b	a	b	b	a	b	b	a	a	b	-	a	a	a	b	b	a	b	-	b	
2287_x1	-	a	b	a	a	a	b	-	b	a	b	-	a	b	b	a	b	b	a	b	-	b	-	a	-	b	a	a	b	a	a	-	b	a	
42446_x1	b	a	b	b	a	b	b	b	-	b	a	b	b	-	a	a	b	a	b	-	-	b	a	a	-	b	a	b	a	b	a	b	a	b	
24167_x1	b	a	b	b	b	b	-	-	a	b	b	-	a	a	b	b	a	b	a	b	a	b	b	a	b	a	a	a	a	b	a	b	b	a	
2075_x1	b	b	b	b	a	-	a	a	a	a	a	a	a	a	a	b	-	a	a	a	b	a	a	b	a	a	b	a	a	b	a	a	b	b	
40146_x1	a	b	a	a	b	a	-	b	a	a	a	-	a	a	b	b	b	b	a	-	a	a	a	a	b	b	a	b	b	a	b	a	b	b	
64504_x1	a	a	b	a	b	a	a	a	b	b	-	-	a	b	-	-	a	a	a	b	b	a	a	b	b	a	b	b	a	b	a	b	b	a	
66668_x1	-	b	-	a	b	a	-	b	a	a	-	a	b	b	a	b	b	-	-	b	-	b	b	-	a	b	a	b	b	a	b	a	a	a	
18895_x1	b	b	a	b	a	a	a	b	b	a	a	a	b	-	a	b	a	a	a	b	a	a	-	a	a	a	b	a	b	a	b	a	a	b	
20272_x1	a	b	b	a	b	a	b	b	a	a	b	-	b	-	a	b	b	b	a	a	b	b	b	a	b	a	b	-	b	a	b	b	-	a	
41095_x1	a	b	b	a	a	b	-	-	a	a	a	a	-	a	a	b	-	a	a	a	b	a	a	-	a	b	b	b	b	-	a	b	b	b	
15895_x1	-	b	b	b	b	a	b	a	b	b	b	b	-	-	-	a	-	a	a	b	-	b	-	-	a	b	b	a	b	b	b	b	b	b	
72073_x1	a	a	a	a	b	-	a	a	a	b	-	a	a	a	-	b	b	b	b	b	b	a	b	b	-	a	a	a	a	b	a	a	b	a	
46933_x1	b	a	-	b	b	b	b	b	a	a	a	-	b	-	a	-	-	b	b	b	-	-	-	b	b	b	a	b	a	a	a	b	b	a	
494_x1	a	b	a	a	a	b	a	-	b	a	b	b	a	-	a	b	b	a	b	a	-	a	b	-	a	b	b	a	a	b	a	b	a	b	
33302_x1	a	b	a	a	a	b	-	-	b	a	b	-	a	-	a	b	b	a	b	-	a	a	b	b	a	-	b	a	a	-	a	b	-	b	
27969_x1	b	b	a	-	a	b	-	-	a	b	a	-	a	a	a	a	a	a	a	b	-	a	a	a	-	a	a	b	b	b	b	b	b	b	
44387_x1	b	b	b	a	b	a	a	a	-	-	-	b	a	-	b	a	a	b	b	-	-	b	-	b	b	b	a	a	b	b	a	a	a	b	
16697_x1	a	a	b	a	a	a	a	a	b	b	a	b	a	b	-	a	a	a	a	b	b	-	a	b	b	a	b	b	a	b	a	b	b	a	
76776_x1	b	b	b	a	a	b	a	-	b	a	a	-	a	a	b	-	b	b	a	b	b	a	-	b	-	a	a	a	b	b	-	b	-	a	
74618_x1	a	b	b	b	a	b	b	a	a	b	a	-	a	b	a	-	b	b	-	b	-	b	-	b	-	a	b	b	b	b	b	a	a	b	
39181_x1	a	b	b	a	b	a	b	b	a	a	b	b	a	-	a	b	a	b	-	a	a	a	a	a	b	b	a	b	b	-	-	a	b	b	
54637_x1	a	b	a	b	b	b	b	b	a	b	b	a	b	b	b	b	-	-	a	b	b	-	a	a	a	a	a	a	b	a	a	b	a	b	
Oke_U2034-55_x1	b	b	b	b	a	b	b	a	b	a	a	b	a	b	b	a	b	b	a	b	b	a	-	b	b	a	a	a	b	b	b	b	b	-	
87055_x1	a	a	-	a	a	a	b	b	b	a	-	a	a	b	b	a	b	b	a	b	b	b	-	a	b	b	a	a	b	a	a	b	b	a	
62053_x1	a	-	a	-	a	a	b	a	a	a	a	a	a	a	-	a	b	-	-	a	-	a	-	a	b	b	a	b	a	-	b	a	a	b	
66876_x1	b	b	a	b	b	b	a	a	b	b	a	a	a	a	a	a	a	-	b	b	-	a	a	b	-	b	a	b	b	a	b	a	a	b	
86228_x1	b	b	b	a	a	b	b	a	b	b	a	-	b	b	a	a	b	a	b	a	b	-	-	a	b	b	a	b	a	a	b	b	a	b	
69457_x1	b	a	a	-	b	b	b	b	a	a	b	b	a	a	-	a	b	b	a	b	a	b	a	a	b	b	a	a	b	a	b	a	a	a	
85817_x1	a	b	b	a	a	b	b	-	b	-	a	b	b	b	b	a	a	a	b	a	b	b	b	b	a	a	b	a	b	-	a	a	-	a	
65533_x1	b	a	b	a	b	a	b	b	a	a	b	b	b	b	a	a	-	a	b	b	-	b	-	b	b	a	b	a	a	a	b	a	b	b	
12617_x1	b	a	b	b	a	b	a	b	b	b	b	a	b	a	a	a	a	b	a	b	b	a	b	a	b	b	b	b	b	b	a	a	b	a	
42045_x1	a	a	b	a	a	a	b	a	-	b	a	a	b	b	a	a	b	b	b	b	a	b	a	b	b	b	b	b	b	a	b	a	b	a	
43044_x1	b	b	b	a	a	a	b	-	b	a	a	a	a	b	a	a	a	b	b	b	a	a	-	a	a	b	b	a	a	b	a	b	b	b	
58941_x1	b	b	-	b	a	a	a	a	a	a	b	a	a	a	b	b	b	a	b	a	b	-	b	b	a	a	b	b	b	b	b	b	b	a	
1337_x1	b	a	b	b	a	b	-	b	b	b	-	b	b	b	b	a	b	a	b	a	b	b	a	a	b	b	a	b	a	-	a	a	a	b	
64008_x1	b	b	b	a	b	a	b	a	a	b	-	a	b	b	a	-	a	a	b	b	-	a	b	-	a	b	b	b	b	a	b	a	a	b	
47090_x1	-	a	b	-	a	b	-	b	a	a	a	a	a	a	b	b	b	a	b	a	b	-	a	b	a	b	b	a	b	a	a	a	b	a	
61082_x1	b	b	a	b	a	b	b	a	a	a	a	-	a	b	a	b	b	a	a	a	-	b	a	a	-	a	a	b	a	a	a	b	b	b	
36294_x1	b	b	b	b	a	b	a	-	b	b	a	a	a	b	a	-	a	b	b	-	a	a	a	-	-	a	b	a	a	b	-	b	b	b	
81314_x1	b	b	a	b	b	a	b	a	b	b	-	b	a	-	-	a	b	b	b	a	a	-	-	b	b	a	a	a	b	a	b	a	a	a	
18316_x1	b	a	-	b	b	a	a	b	a	b	-	a	b	b	b	a	b	b	b	a	-	a	-	-	a	b	a	a	a	b	a	b	b	a	
38607_x1	-	b	a	a	a	a	b	b	b	a	-	b	a	a	a	a	a	b	a	a	b	a	a	a	b	b	a	b	b	b	a	a	a	a	
17895_x1	a	-	a	b	b	a	a	b	a	a	-	-	a	a	-	b	a	b	-	b	a	a	b	-	a	a	b	a	b	b	a	a	b	a	
20540_x1	a	a	-	a	b	a	a	b	b	b	b	-	b	a	b	a	a	b	b	b	-	a	b	-	a	b	b	a	b	a	b	a	-	a	
36560_x1	b	b	a	b	a	a	-	b	b	b	-	-	a	b	a	b	b	a	a	-	-	b	b	a	a	b	a	a	b	a	b	b	-	a	
83384_x1	a	b	b	-	a	b	a	b	b	a	b	a	b	b	-	a	b	a	b	b	a	a	b	a	b	b	b	b	b	a	b	a	b	a	
