population_type DH
population_name CMUW10X_0009
distance_function kosambi
cut_off_p_value .0001
no_map_dist 15.0
no_map_size 2
missing_threshold .25
estimation_before_clustering yes
detect_bad_data yes
objective_function ML
number_of_loci 5774
number_of_individual 31

locus_name	CMUW10X09H_0009	CMUW10X09H_0014	CMUW10X09H_0021	CMUW10X09H_0023	CMUW10X09H_0028	CMUW10X09H_0030	CMUW10X09H_0031	CMUW10X09H_0034	CMUW10X09H_0035	CMUW10X09H_0036	CMUW10X09H_0037	CMUW10X09H_0038	CMUW10X09H_0039	CMUW10X09H_0043	CMUW10X09H_0044	CMUW10X09H_0045	CMUW10X09H_0049	CMUW10X09H_0058	CMUW10X09H_0059	CMUW10X09H_0060	CMUW10X09H_0062	CMUW10X09H_0067	CMUW10X09H_0068	CMUW10X09H_0069	CMUW10X09H_0073	CMUW10X09H_0076	CMUW10X09H_0077	CMUW10X09H_0081	CMUW10X09H_0083	CMUW10X09H_0084	CMUW10X09H_0093	
16697_x1	a	a	a	a	b	b	a	a	b	b	b	a	a	a	a	b	b	a	a	b	a	b	b	a	a	a	a	b	a	a	a	
74618_x1	a	b	a	a	a	b	a	a	-	a	-	a	a	a	a	b	a	a	b	b	b	b	b	b	b	a	-	b	b	a	b	
59915_x1	a	a	b	a	b	-	b	a	b	a	a	a	a	a	b	b	a	b	a	a	-	b	b	a	b	b	a	a	b	b	a	
13575_x1	a	b	b	b	a	b	b	a	-	b	-	a	a	b	-	b	b	b	b	b	b	a	a	a	b	a	-	b	a	b	b	
66876_x1	a	b	b	a	a	a	a	b	-	b	a	b	-	b	b	a	a	a	a	b	b	b	b	a	b	b	a	b	a	b	a	
50574_x1	b	b	b	a	a	a	b	a	a	a	-	a	a	b	b	-	b	b	b	a	b	a	b	a	b	a	a	b	b	b	b	
7994_x1	-	b	a	b	b	-	b	a	a	a	-	a	-	a	a	b	b	b	a	a	b	b	a	b	a	b	a	a	a	-	b	
32214_x1	a	b	a	-	a	b	-	a	a	a	a	a	a	b	a	a	a	b	a	b	-	b	a	a	a	b	-	a	a	b	b	
69457_x1	b	a	a	a	b	b	a	b	a	a	b	a	a	b	a	b	a	b	b	a	b	a	a	-	-	a	a	b	b	b	a	
9369_x1	a	b	b	a	b	b	a	a	-	-	-	a	b	a	a	-	b	a	b	b	b	a	a	-	a	a	-	b	a	b	-	
59184_x1	b	a	a	b	a	-	a	b	b	b	a	b	b	b	b	-	a	a	a	b	a	a	b	b	a	b	b	a	a	b	a	
62719_x1	b	b	a	b	a	a	a	a	a	a	a	a	b	b	b	a	a	a	b	b	a	b	b	a	b	b	b	b	a	a	b	
43044_x1	a	b	a	b	b	-	b	b	b	-	a	b	a	b	b	a	b	b	a	b	a	a	a	b	b	b	a	a	b	a	b	
55610_x1	b	a	a	a	b	-	a	a	a	a	a	a	b	a	a	b	a	a	b	b	a	a	a	a	a	b	a	b	b	a	b	
58941_x1	-	a	a	a	a	a	b	a	a	b	a	b	a	a	a	a	a	b	b	a	b	a	a	a	b	b	a	a	b	a	b	
24604_x1	-	a	b	a	a	a	b	b	b	-	a	a	b	b	a	a	b	a	b	b	b	b	b	b	b	a	a	b	b	b	b	
1337_x1	-	b	a	b	a	b	a	b	-	b	b	a	b	b	b	b	a	b	b	b	a	a	a	-	a	-	-	a	b	b	a	
64008_x1	b	b	a	b	a	a	a	b	a	b	b	b	b	b	-	a	b	a	b	b	b	a	a	b	a	a	a	b	a	a	b	
18316_x1	a	b	a	a	-	b	b	b	-	a	a	b	b	a	b	b	b	b	b	b	a	a	a	b	b	a	-	b	a	b	b	
38607_x1	a	a	a	a	b	a	b	b	a	b	a	a	a	a	b	-	a	b	a	b	b	a	b	a	b	b	-	a	b	b	a	
32781_x1	a	b	b	a	a	b	a	b	a	-	a	-	b	b	a	a	b	b	b	b	a	a	b	-	a	a	b	b	a	b	a	
53956_x1	a	a	a	a	b	a	b	b	a	b	a	-	a	a	b	a	a	b	a	b	b	a	b	a	b	b	a	a	b	b	a	
20540_x1	a	b	a	b	b	b	a	a	a	b	a	a	a	b	a	a	a	a	a	b	b	a	b	a	a	b	b	a	-	a	b	
13237_x1	a	b	a	a	-	b	b	a	a	-	a	a	a	b	a	a	a	b	-	b	a	b	a	a	a	b	b	a	a	b	b	
43510_x1	b	a	b	a	a	a	b	b	a	a	b	a	b	a	b	-	a	a	a	b	a	b	a	a	b	b	a	a	a	a	a	
1906_x1	a	a	a	a	b	a	-	b	a	b	a	a	a	a	-	a	a	b	a	b	b	a	b	-	b	b	a	a	b	b	a	
50983_x1	b	b	a	a	a	b	a	a	a	a	a	b	b	b	b	a	b	b	b	b	b	a	b	b	b	b	b	b	b	a	a	
3396_x1	a	b	b	b	a	b	b	a	b	-	b	-	b	b	-	-	b	-	a	a	b	a	b	a	b	-	-	b	a	a	a	
11599_x1	b	a	a	a	a	a	a	b	a	-	a	-	a	b	a	-	b	a	b	a	b	b	b	-	a	a	a	a	-	-	b	
55253_x1	a	a	a	-	b	a	b	b	a	b	a	-	a	a	b	-	a	b	a	b	-	a	b	-	b	b	-	a	b	b	a	
15083_x1	a	a	b	a	a	a	a	b	b	b	b	-	b	b	b	-	a	a	b	b	a	a	b	a	b	a	b	b	b	a	a	
71312_x1	a	a	a	b	a	-	-	b	a	a	-	-	a	b	-	b	b	b	b	b	-	a	b	a	b	b	a	a	b	b	a	
2619_x1	a	b	a	b	a	-	a	a	a	a	a	a	a	a	a	b	b	b	b	b	b	b	b	-	a	b	b	a	b	b	b	
55332_x1	b	b	a	b	a	b	a	b	a	b	-	-	-	a	-	b	a	a	-	a	-	a	a	a	b	b	a	b	-	b	a	
48523_x1	a	a	a	b	b	b	b	b	a	b	b	a	b	b	-	-	a	a	b	a	b	a	b	b	b	a	a	b	a	a	a	
48210_x1	b	a	b	a	b	a	a	b	b	-	a	b	b	b	-	b	a	a	b	a	b	a	b	a	b	b	b	b	a	b	a	
66576_x1	b	a	a	b	a	b	a	a	-	-	b	-	-	a	a	b	-	b	a	a	-	a	a	-	b	b	a	b	a	a	a	
42457_x1	b	a	b	a	b	a	b	a	b	b	b	b	a	b	b	a	a	a	a	a	-	a	b	a	a	b	a	a	b	a	a	
