LG	locus	cm
3	16605_x1	7.244
3	55566_x1	7.244
3	6524_x1	7.244
3	73187_x1	8.374
3	22634_x1	8.374
3	67740_x1	8.374
3	22185_x1	8.374
3	56561_x1	8.48
3	70671_x1	8.644
3	56585_x1	8.83
3	10583_x1	8.984
3	71157_x1	9.09
3	59869_x1	9.09
3	48128_x1	12.889
3	11172_x1	13.158
3	69899_x1	13.437
3	5813_x1	13.764
3	1915_x1	14.108
3	46833_x1	17.767
3	12282_x1	17.767
3	73317_x1	17.767
3	46928_x1	20.043
3	1448_x1	23.548
3	17489_x1	24.244
3	2588_x1	24.43
3	1905_x1	24.563
3	68673_x1	24.709
3	2909_x1	24.919
3	5953_x1	27.66
3	12194_x1	28.327
3	21133_x1	28.327
3	51314_x1	28.327
3	45459_x1	30.087
3	74450_x1	30.206
3	66700_x1	30.206
3	56857_x1	30.206
3	63325_x1	30.206
3	77740_x1	30.206
3	5902_x1	30.206
3	9601_x1	30.381
3	62601_x1	30.867
3	57359_x1	30.974
3	41582_x1	31.091
3	9607_x1	35.767
3	40757_x1	36.027
3	63234_x1	37.945
3	7030_x1	38.346
3	68098_x1	38.755
3	41467_x1	39.18
3	3854_x1	39.549
3	71070_x1	39.896
3	6344_x1	40.21
3	71348_x1	40.552
3	528_x1	41.074
3	46684_x1	41.912
3	50838_x1	47.669
3	27173_x1	47.669
3	6928_x1	47.669
3	17349_x1	47.669
3	1490_x1	49.113
3	73597_x1	51.238
3	11388_x1	51.238
3	5284_x1	51.238
3	56964_x1	51.238
3	50889_x1	51.238
3	3293_x1	55.862
3	6353_x1	56.433
3	Oke_gdh1-62_x1	56.977
3	15765_x1	57.501
3	59030_x1	58.035
3	43138_x1	58.586
3	22926_x1	59.147
3	6209_x1	59.716
3	73013_x1	60.32
3	67651_x1	61.548
3	62_x1	61.994
3	21899_x1	62.909
3	11737_x1	63.059
3	45758_x1	63.059
3	15185_x1	63.43
3	57036_x1	63.764
3	43955_x1	63.764
3	62178_x1	63.764
3	41876_x1	63.866
3	44684_x1	63.866
3	67993_x1	63.866
3	70394_x1	63.866
3	59367_x1	63.866
3	63738_x1	63.866
3	70462_x1	63.866
3	2999_x1	63.866
3	81887_x1	64.019
3	11969_x1	64.282
3	2450_x1	64.495
3	55065_x1	64.62
3	28288_x1	64.773
3	76898_x1	64.94
3	3267_x1	65.064
3	41790_x1	65.205
3	18775_x1	65.399
4	66604_x1	0
4	66505_x1	0.45
4	65513_x1	0.694
4	2412_x1	0.694
4	42286_x1	0.694
4	61766_x1	0.694
4	61349_x1	0.694
4	26753_x1	0.694
4	13617_x1	0.809
4	64844_x1	0.923
4	29037_x1	0.923
4	71699_x1	1.077
4	49251_x1	1.182
4	63486_x1	1.182
4	44841_x1	1.343
4	55110_x1	1.67
4	61456_x1	2.019
4	4984_x1	2.231
4	77203_x1	2.543
4	62179_x1	2.943
4	77545_x1	3.619
4	42525_x1	4.659
4	55180_x1	4.789
4	65039_x1	4.789
4	55811_x1	4.789
4	57950_x1	4.789
4	20170_x1	4.789
4	29376_x1	4.789
4	71339_x1	4.789
4	56275_x1	4.789
4	69314_x1	4.789
4	64606_x1	7.682
4	41705_x1	7.682
4	78702_x1	7.682
4	42131_x1	7.682
4	61311_x1	7.682
4	63736_x1	7.682
4	65084_x1	8.319
4	2722_x1	8.319
4	65329_x1	8.319
4	68321_x1	8.319
4	40944_x1	8.431
4	47994_x1	8.582
4	71906_x1	8.734
4	6442_x1	8.863
4	655_x1	8.863
4	55469_x1	8.863
4	8241_x1	8.863
4	52578_x1	11.39
4	12577_x1	12.159
4	57961_x1	12.56
4	11952_x1	13.042
4	60071_x1	13.453
4	4208_x1	13.748
4	55230_x1	17.234
4	30058_x1	18.958
4	48874_x1	19.568
4	57054_x1	19.776
4	15914_x1	19.898
4	21867_x1	20.007
4	23735_x1	20.157
4	26771_x1	20.318
4	42807_x1	22.814
4	71965_x1	23.402
4	48833_x1	24.093
4	51236_x1	34.99
4	55459_x1	35.782
4	48797_x1	36.886
4	7955_x1	37.625
4	59294_x1	39.544
4	78528_x1	39.739
4	54214_x1	40.011
4	60036_x1	41.075
4	72740_x1	42.257
4	37041_x1	44.603
4	54501_x1	45.102
4	29871_x1	45.549
4	27412_x1	46.444
4	43447_x1	49.27
4	60011_x1	53.79
4	7222_x1	53.943
4	64348_x1	54.05
4	2380_x1	54.05
4	11034_x1	55.719
4	54975_x1	56.227
4	76761_x1	57.015
4	31387_x1	57.654
4	74416_x1	57.654
4	57908_x1	57.654
4	15474_x1	57.654
4	27565_x1	57.654
4	21939_x1	57.654
4	71984_x1	57.654
4	43315_x1	57.654
4	60347_x1	57.654
4	41114_x1	57.654
4	45009_x1	57.87
4	17866_x1	58.331
4	16046_x1	58.331
4	66592_x1	58.331
4	59495_x1	58.466
4	66554_x1	59.049
4	11667_x1	59.049
4	22396_x1	59.049
4	10822_x1	59.049
4	73289_x1	59.173
4	17979_x1	61.574
4	169_x1	61.574
4	64855_x1	61.574
4	1534_x1	61.94
4	27504_x1	62.272
4	10579_x1	62.272
4	72043_x1	62.272
4	64323_x1	62.412
4	49221_x1	62.574
4	55256_x1	63.017
4	66785_x1	63.334
4	68499_x1	63.531
4	63656_x1	64.11
4	49140_x1	64.11
4	2516_x1	64.11
4	37249_x1	64.11
4	56175_x1	64.11
4	4828_x1	64.444
4	77922_x1	65.011
4	8399_x1	65.226
4	4960_x1	65.332
4	19020_x1	65.332
4	67958_x1	65.442
4	27798_x1	72.392
4	70817_x1	73.77
4	77473_x1	75.1
4	31086_x1	76.4
4	3421_x1	77.677
4	864_x1	78.953
4	40546_x1	80.213
4	19320_x1	81.455
4	53758_x1	82.382
4	6793_x1	86.974
4	62617_x1	87.799
4	13687_x1	88.464
4	64527_x1	88.922
4	15709_x1	89.227
4	56983_x1	93.132
4	29531_x1	94.516
4	48311_x1	95.11
4	46548_x1	102.888
4	69741_x1	103.121
4	52447_x1	103.329
4	47439_x1	103.508
4	6036_x1	105.923
4	16289_x1	107.043
4	19184_x1	107.342
4	58953_x1	107.544
4	3091_x1	107.733
4	60395_x1	107.842
4	3560_x1	108.154
4	54592_x1	108.461
4	49103_x1	108.757
4	48351_x1	109.065
4	56361_x1	109.382
4	75751_x1	109.671
4	78061_x1	109.938
4	70089_x1	110.138
4	60646_x1	117.646
4	57762_x1	117.646
4	1570_x1	117.646
4	7644_x1	117.646
4	62264_x1	117.646
4	41237_x1	117.646
4	65963_x1	117.646
4	42033_x1	117.646
4	53316_x1	117.646
4	65964_x1	121.252
4	13660_x1	121.547
4	52048_x1	121.818
4	49753_x1	122.052
4	72833_x1	122.297
4	2386_x1	122.581
4	44632_x1	125.333
4	54982_x1	129.714
4	13955_x1	130.053
4	8026_x1	130.348
4	50345_x1	130.796
4	1063_x1	131.627
4	77610_x1	132.288
4	4530_x1	132.288
4	64085_x1	132.288
4	60824_x1	132.288
4	5742_x1	132.288
4	78434_x1	134.039
4	53613_x1	136.37
4	11361_x1	136.37
4	84181_x1	136.37
4	1288_x1	136.37
4	74836_x1	136.37
4	53211_x1	136.635
4	52161_x1	137.612
4	70014_x1	137.972
4	29384_x1	138.221
4	72503_x1	138.221
4	51556_x1	138.221
4	1631_x1	138.325
4	53172_x1	138.325
4	699_x1	138.325
4	71744_x1	138.325
4	44532_x1	138.325
4	45415_x1	138.325
4	69717_x1	138.46
4	87265_x1	138.751
4	42862_x1	138.959
4	2989_x1	139.071
4	723_x1	139.484
4	43230_x1	139.817
4	66481_x1	139.817
4	41940_x1	140.556
4	2699_x1	141.7
4	48923_x1	141.912
4	4098_x1	141.912
4	39166_x1	141.912
4	48164_x1	142.074
4	54731_x1	142.207
4	55183_x1	142.207
4	3880_x1	142.5
4	55220_x1	142.88
4	18046_x1	143.053
4	13084_x1	143.053
4	11838_x1	143.053
4	48632_x1	143.053
4	55962_x1	143.053
4	7289_x1	143.053
4	56387_x1	143.213
4	54915_x1	143.372
4	33911_x1	143.66
4	70503_x1	143.99
4	23103_x1	144.175
4	45062_x1	144.594
4	13007_x1	145.088
4	64420_x1	145.729
5	31748_x1	0
5	54872_x1	0.622
5	54794_x1	1.085
5	53318_x1	1.457
5	31851_x1	1.735
5	55446_x1	5.219
5	77749_x1	6.008
5	55427_x1	8.472
5	75994_x1	8.472
5	70389_x1	8.472
5	Oke_NUPR1-70_x1	8.472
5	8233_x1	14.166
5	20516_x1	14.166
5	11281_x1	14.166
5	9379_x1	14.166
5	76109_x1	14.362
5	53138_x1	14.64
5	53637_x1	14.986
5	39402_x1	15.305
5	51978_x1	15.557
5	40173_x1	16.434
5	64267_x1	17.009
5	57603_x1	17.645
5	27794_x1	18.029
5	24763_x1	20.283
5	29540_x1	23.509
5	69437_x1	23.509
5	5569_x1	23.509
5	54692_x1	23.509
5	15290_x1	25.807
5	76512_x1	25.959
5	71357_x1	26.441
5	Oke_U2040-77_x1	28.8
5	54252_x1	29.075
5	44880_x1	33.101
5	6587_x1	33.284
5	83851_x1	33.437
5	46181_x1	33.664
5	11561_x1	40.869
5	58062_x1	41.231
5	52807_x1	41.575
5	77946_x1	41.879
5	11978_x1	42.332
5	66960_x1	44.918
5	11377_x1	44.918
5	63038_x1	45.095
5	41751_x1	45.248
5	41246_x1	45.248
5	70118_x1	45.248
5	5562_x1	45.248
5	15008_x1	45.248
5	78187_x1	45.248
5	53207_x1	45.248
5	56194_x1	45.248
5	57847_x1	45.248
5	76983_x1	45.408
5	12413_x1	45.787
5	56064_x1	46.311
5	72245_x1	48.224
5	52813_x1	48.951
5	50107_x1	49.593
5	20448_x1	49.875
5	50897_x1	50.646
5	2106_x1	51.098
5	29578_x1	51.562
5	45017_x1	51.562
5	16105_x1	51.695
5	72827_x1	51.82
5	10107_x1	51.928
5	8076_x1	52.084
5	57480_x1	55.753
5	62439_x1	58.377
5	5767_x1	59.033
5	60701_x1	59.369
5	62003_x1	59.945
6	35067_x1	0
6	48175_x1	0.236
6	76057_x1	0.236
6	44938_x1	0.236
6	5250_x1	0.236
6	12139_x1	0.236
6	52071_x1	0.236
6	7781_x1	0.236
6	45072_x1	0.236
6	75498_x1	0.236
6	54617_x1	0.236
6	1294_x1	0.236
6	140_x1	0.518
6	59213_x1	0.844
6	50347_x1	0.844
6	61202_x1	0.844
6	32049_x1	0.844
6	58301_x1	0.844
6	61802_x1	0.844
6	12783_x1	0.844
6	2270_x1	0.844
6	66323_x1	0.844
6	3240_x1	0.844
6	10144_x1	1.987
6	32885_x1	3.13
6	6506_x1	3.13
6	58274_x1	3.587
6	41889_x1	3.769
6	3271_x1	3.769
6	63326_x1	3.769
6	2810_x1	3.946
6	11530_x1	4.118
6	50699_x1	4.218
6	58064_x1	4.334
6	38513_x1	4.508
6	8285_x1	4.675
6	14654_x1	4.801
6	55114_x1	4.801
6	65367_x1	5.041
6	14270_x1	5.402
6	66718_x1	5.402
6	76121_x1	5.402
6	6336_x1	5.402
6	15145_x1	10.295
6	33052_x1	10.812
6	65369_x1	11.094
6	5636_x1	11.466
6	29556_x1	14.851
6	33752_x1	15.417
6	59963_x1	16.354
6	57010_x1	18.855
6	75655_x1	20.023
6	17383_x1	20.023
6	61330_x1	20.023
6	62122_x1	20.023
6	15093_x1	20.023
6	14266_x1	20.149
6	11488_x1	20.328
6	69667_x1	20.439
6	68032_x1	22.128
6	97050_x1	22.49
6	62746_x1	22.718
6	53794_x1	22.718
6	5239_x1	22.718
6	69231_x1	22.718
6	14611_x1	31.056
6	18500_x1	31.387
6	63908_x1	31.677
6	48136_x1	31.949
6	55233_x1	34.972
6	70523_x1	35.247
6	54686_x1	35.504
6	46867_x1	35.796
6	48337_x1	36.173
6	56128_x1	36.629
6	44829_x1	38.524
6	32607_x1	38.888
6	19068_x1	39.246
6	15435_x1	39.366
6	5091_x1	57.885
6	5587_x1	58.841
6	58909_x1	59.051
6	26701_x1	59.051
6	1186_x1	59.051
6	72055_x1	59.206
6	53999_x1	59.458
6	377_x1	59.736
6	68919_x1	60.035
6	74410_x1	60.324
6	65375_x1	60.568
6	44619_x1	61.742
6	58186_x1	61.866
6	1290_x1	61.866
6	49459_x1	61.866
6	28322_x1	61.866
6	274_x1	61.866
6	65608_x1	62.421
6	19655_x1	62.421
6	13751_x1	64.205
6	70627_x1	64.938
6	9278_x1	65.49
6	132_x1	70.752
6	10950_x1	71.318
6	10840_x1	71.846
6	56015_x1	72.342
6	15012_x1	72.804
6	54407_x1	73.308
6	10366_x1	73.821
6	59226_x1	74.245
6	1051_x1	76.126
6	59239_x1	76.234
6	61727_x1	76.234
6	56008_x1	76.234
6	65002_x1	76.808
6	64238_x1	84.019
6	68918_x1	84.32
6	49265_x1	84.612
6	46808_x1	84.898
6	67434_x1	85.185
6	54425_x1	85.476
6	66199_x1	85.802
6	7387_x1	87.221
6	52564_x1	87.864
6	7100_x1	88.005
6	72795_x1	88.111
6	2148_x1	88.294
6	55742_x1	88.435
6	57280_x1	88.435
6	65210_x1	88.435
6	52641_x1	88.56
6	41056_x1	88.798
6	55783_x1	89.078
6	45528_x1	96.587
6	20759_x1	96.587
6	69089_x1	96.587
6	39900_x1	96.587
6	70914_x1	96.587
6	49377_x1	96.587
6	30670_x1	96.587
6	40321_x1	96.587
6	3544_x1	96.695
6	67388_x1	96.843
6	50445_x1	97.031
7	21967_x1	0
7	7977_x1	0
7	51029_x1	0
7	30610_x1	0
7	Oke_u217-172_x1	0
7	65557_x1	0
7	4050_x1	0
7	57459_x1	0
7	20392_x1	1.088
7	71059_x1	1.088
7	15312_x1	1.088
7	73515_x1	3.4
7	64697_x1	3.4
7	3915_x1	3.961
7	70434_x1	12.614
7	50042_x1	12.614
7	65596_x1	12.614
7	45383_x1	12.614
7	57181_x1	12.614
7	8305_x1	13.066
7	3870_x1	13.847
7	63568_x1	13.847
7	1356_x1	13.847
7	68383_x1	13.847
7	16217_x1	13.847
7	18147_x1	14.017
7	10880_x1	14.215
7	10278_x1	14.317
7	49243_x1	14.488
7	81388_x1	16.575
7	57541_x1	16.898
7	42304_x1	17.18
7	58510_x1	17.407
7	12654_x1	17.637
7	2160_x1	17.961
7	9210_x1	18.328
7	55531_x1	18.605
7	13172_x1	18.899
7	76687_x1	19.225
7	62505_x1	19.604
7	4873_x1	20.02
7	28323_x1	21.52
7	2773_x1	25.593
7	50132_x1	32.436
7	63260_x1	32.675
7	1818_x1	32.925
7	13433_x1	33.269
7	75161_x1	39.934
7	62407_x1	40.401
7	49462_x1	41.014
7	67726_x1	45.214
7	57746_x1	45.214
7	51611_x1	45.214
7	55971_x1	45.214
7	14005_x1	46.423
7	72048_x1	46.423
7	25172_x1	48.212
7	8314_x1	48.212
7	47660_x1	48.212
7	7941_x1	48.212
7	60413_x1	48.212
7	10087_x1	48.212
7	58435_x1	48.212
7	47252_x1	48.212
7	47218_x1	48.212
7	14560_x1	48.212
7	7424_x1	48.877
7	4431_x1	49.002
7	50186_x1	49.624
7	66930_x1	50.207
7	54118_x1	50.207
7	74056_x1	50.207
7	52995_x1	50.535
7	13129_x1	50.889
7	9234_x1	52.672
7	63177_x1	53.327
7	45108_x1	53.451
7	34334_x1	53.682
7	62309_x1	56.588
7	61981_x1	56.588
7	45559_x1	57.072
7	12534_x1	57.426
7	49948_x1	57.741
7	13075_x1	58.091
7	860_x1	58.435
7	16974_x1	58.726
7	9715_x1	58.925
7	3379_x1	59.252
7	49854_x1	59.546
7	56060_x1	59.672
7	13676_x1	59.773
7	1684_x1	59.773
7	13761_x1	59.773
7	67228_x1	59.773
7	51659_x1	59.773
7	61146_x1	59.773
7	64022_x1	59.773
7	858_x1	59.773
7	66312_x1	59.773
7	60565_x1	59.773
7	53920_x1	59.913
7	43510_x1	60.043
7	18250_x1	60.417
7	52612_x1	60.989
7	5678_x1	61.155
7	47090_x1	61.464
7	68013_x1	61.757
7	54893_x1	62.1
7	63213_x1	62.48
7	45584_x1	62.708
7	58336_x1	63.093
7	9993_x1	63.726
7	2416_x1	64.311
7	7598_x1	64.67
7	52077_x1	64.898
7	71749_x1	65.047
7	15109_x1	65.169
7	72532_x1	65.169
7	58230_x1	65.169
7	59623_x1	65.169
7	9573_x1	65.169
7	70191_x1	65.169
7	8227_x1	65.169
7	25792_x1	65.169
7	71552_x1	65.169
7	55214_x1	65.169
7	2936_x1	65.338
7	47844_x1	65.444
7	23162_x1	65.444
7	68077_x1	65.602
7	23874_x1	66.096
8	57388_x1	0
8	49563_x1	0.442
8	53761_x1	3.469
8	15062_x1	3.718
8	5922_x1	4.075
8	16135_x1	5.065
8	4865_x1	5.392
8	69979_x1	5.683
8	70393_x1	5.962
8	75608_x1	6.234
8	68712_x1	6.557
8	27485_x1	6.917
8	65200_x1	7.382
8	73686_x1	14.874
8	61761_x1	14.874
8	5001_x1	14.874
8	60566_x1	14.874
8	13788_x1	14.874
8	46665_x1	15.023
