contig	locus	stacks_CatID	stacks_SNP	LG	cM	pi_within	dxy	BSname	prob_bayescan	log10(PO)_bayescan	qval_bayescan	alpha_bayescan	Fst_bayescan	mlog10(qval)_bayescan	Fst_weir	locnum	cpvals	zscore	reject_null_LFMM	fdr_pval_LFMM	mlog10(fdr_pval)_LFMM	cM_pad	cM_padded
c46019	46019	30764.0	30764_8	1.0	0.0	0.00399081858665	0.00403830449399	6156.0	0.068807	-1.1314	0.88608	-0.017006	0.02807	0.0525270659345	0.0307532	6156.0	0.956722281271	0.0581608	False	0.997931050083	0.000899464326885	0.0	0.0
c88177	88177	66157.0	66157_68	1.0	0.0	0.00870882823511	0.00924398653218	6370.0	0.077208	-1.0774	0.86781	0.020303	0.029298	0.0615753496899	0.0457951	6370.0	0.185606950649	-1.41866	False	0.896228760455	0.0475811234595	0.0	0.0
c8781	8781	65853.0	65853_72	1.0	0.0	0.00289740894521	0.00294357545122	6386.0	0.070507	-1.12	0.88391	0.0090729	0.028846	0.0535919527394	0.0160977	6386.0	0.812506547339	-0.254212	False	0.997092304798	0.0012646354609	0.0	0.0
c73675	73675	53865.0	53865_80	1.0	0.0	0.00364736369554	0.00406256601195	6412.0	0.62676	0.22512	0.10174	0.76227	0.068329	0.992508266705	0.0909747	6412.0	0.717896671224	0.387192	False	0.997092304798	0.0012646354609	0.0	0.0
c27947	27947	15571.0	15571_41	1.0	0.0	0.00493624846174	0.00510215211616	6287.0	0.069507	-1.1267	0.88534	-0.005391	0.028447	0.0528899137462	0.0335203	6287.0	0.728652857279	-0.371809	False	0.997092304798	0.0012646354609	0.0	0.0
c12584	12584	2287.0	2287_40	1.0	0.0	0.00270303316055	0.00284066524036	6281.0	0.073407	-1.1011	0.87832	0.017806	0.029103	0.0563472279267	0.0524564	6281.0	0.0662253667039	1.96869	False	0.69804308809	0.156117768864	0.0	0.0
c57789	57789	40757.0	40757_10	1.0	0.0	0.00607843212404	0.00615627955225	6167.0	0.075408	-1.0885	0.87333	-0.028159	0.027913	0.0588216210156	0.00972489	6167.0	0.897863833184	0.13757	False	0.997931050083	0.000899464326885	0.0	0.0
c60553	60553	43108.0	43108_26	1.0	0.0	0.00489842839921	0.00525646443689	6233.0	0.073807	-1.0986	0.87735	0.02057	0.029251	0.056827119581	0.0624312	6233.0	0.69273046044	-0.423504	False	0.997092304798	0.0012646354609	0.0	0.0
c8789	8789	65921.0	65921_82	1.0	0.0	0.00329343987289	0.00340883250469	6418.0	0.083008	-1.0432	0.8464	0.023961	0.029741	0.0724243453089	0.0393694	6418.0	0.853214767842	-0.198293	False	0.997812014992	0.000951270878414	0.0	0.0
c50898	50898	34919.0	34919_74	1.0	0.0	0.00288994607395	0.00289070051301	6394.0	0.073607	-1.0999	0.87787	-0.016686	0.028131	0.0565697921381	0.00249372	6394.0	0.645063140611	0.493681	False	0.995928532621	0.00177182523288	0.0	0.0
c1989	1989	8727.0	8727_11	1.0	0.0	0.00710343158661	0.0074051057674	6171.0	0.070107	-1.1227	0.88451	0.01656	0.029022	0.0532972527257	0.0759637	6171.0	0.00834385817452	-2.82709	False	0.290839295643	0.536346915806	0.0	0.0
c19412	19412	8289.0	8289_22	1.0	0.0	0.00334862715121	0.00343891049371	6215.0	0.072307	-1.1082	0.88079	0.0077212	0.02878	0.0551276247464	0.0351809	6215.0	0.0357544746106	2.25036	False	0.556112997907	0.254836954135	0.0	0.0
c10072	10072	53.0	53_61	1.0	0.0	0.00489379775571	0.00537395663848	6349.0	0.094109	-0.98344	0.80023	0.035363	0.030186	0.0967851712896	0.0612957	6349.0	0.822088482707	0.240993	False	0.997092304798	0.0012646354609	0.0	0.0
c12528	12528	2239.0	2239_66	1.0	0.0	0.00520067790443	0.00505607706583	6362.0	0.12501	-0.84505	0.58706	-0.10949	0.026584	0.231317509762	-0.0198747	6362.0	0.831718864874	0.227744	False	0.997092304798	0.0012646354609	0.0	0.0
c36580	36580	22851.0	22851_45	1.0	0.0	0.00410347305932	0.00455569089933	6299.0	0.10351	-0.93756	0.74814	0.073542	0.031731	0.126017124678	0.0785896	6299.0	0.464021665174	-0.784778	False	0.995928532621	0.00177182523288	0.0	0.0
c51260	51260	35231.0	35231_66	1.0	0.0	0.00292931292863	0.00315301807945	6365.0	0.072707	-1.1056	0.87991	0.014388	0.029012	0.0555617466024	0.0573377	6365.0	0.870584577782	-0.174605	False	0.997812014992	0.000951270878414	0.0	0.0
c47644	47644	32161.0	32161_85	1.0	0.0	0.00773813778083	0.00823654761414	6428.0	0.082108	-1.0484	0.85	-0.045173	0.027557	0.0705810742857	0.0443837	6428.0	0.762940930628	-0.323262	False	0.997092304798	0.0012646354609	0.0	0.0
c57161	57161	40224.0	40224_28	1.0	0.0	0.00471008251931	0.00509686300697	6242.0	0.094309	-0.98242	0.79908	-0.065795	0.027237	0.0974097390598	0.0246759	6242.0	0.982545956871	0.0234468	False	0.99840905747	0.000691487766619	0.0	0.0
c3745	3745	23585.0	23585_40	1.0	0.0	0.00209797049568	0.00208129907806	6283.0	0.080708	-1.0565	0.85489	-0.039159	0.027621	0.0680897630102	0.00430508	6283.0	0.977963293913	0.0296043	False	0.997931050083	0.000899464326885	0.0	0.0
c41772	41772	27143.0	27143_78	1.0	0.0	0.00221758247035	0.00235820593077	6408.0	0.081108	-1.0542	0.85374	-0.025824	0.028011	0.0686743702448	0.0357054	6408.0	0.217063119145	-1.32294	False	0.912668301804	0.0396870328385	0.0	0.0
c35236	35236	73317.0	73317_66	1.0	0.0	0.00449513279197	0.00454747655034	6364.0	0.069407	-1.1274	0.88543	-0.01482	0.028155	0.0528457674106	0.0237523	6364.0	0.0102259789019	-2.75235	False	0.328476457006	0.48349575231	0.0	0.0
c40038	40038	25693.0	25693_51	1.0	0.73	0.00444370985589	0.00460182541621	6320.0	0.075808	-1.086	0.87218	0.011322	0.02905	0.0593938763753	0.0434209	6320.0	0.887619009544	-0.151457	False	0.997931050083	0.000899464326885	0.0	0.73
c57726	57726	40703.0	40703_64	1.0	0.73	0.00293641405429	0.00307917173509	6358.0	0.077808	-1.0738	0.8657	0.026881	0.029582	0.0626325824827	0.0470851	6358.0	0.760265489122	0.327025	False	0.997092304798	0.0012646354609	0.0	0.73
c25202	25202	13251.0	13251_91	1.0	0.99	0.00511972071304	0.00535643873685	6451.0	0.074307	-1.0954	0.87596	0.016763	0.029166	0.057515725083	0.0391075	6451.0	0.0108179035975	-2.73138	False	0.337861931247	0.471260739805	0.0	0.99
c64062	64062	46054.0	46054_32	1.0	1.46	0.00114536740736	0.00114464684635	6254.0	0.083008	-1.0432	0.8464	-0.043192	0.027632	0.0724243453089	-0.0125935	6254.0	0.245789993393	1.24391	False	0.937707731717	0.0279325030727	0.0	1.46
c48159	48159	32600.0	32600_88	1.0	1.46	0.004514905171	0.0045875906017	6441.0	0.077008	-1.0787	0.86859	-0.016292	0.028258	0.061185174939	0.00938746	6441.0	0.857030798641	-0.193081	False	0.997812014992	0.000951270878414	0.0	1.46
c55627	55627	38917.0	38917_64	1.0	1.46	0.00439698529716	0.00440698412534	6356.0	0.091009	-0.99947	0.81375	-0.058273	0.027378	0.0895089984238	-0.00603886	6356.0	0.751796129824	-0.338964	False	0.997092304798	0.0012646354609	0.0	1.46
c28063	28063	15672.0	15672_81	1.0	1.97	0.00659142594192	0.00700155379781	6413.0	0.10001	-0.95419	0.76904	0.053059	0.030897	0.114051070696	0.056577	6413.0	0.00634031702585	-2.92549	False	0.265804501558	0.575437668294	0.0	1.97
c12248	12248	1995.0	1995_85	1.0	2.95	0.00487928081847	0.00521872873464	6427.0	0.077508	-1.0756	0.86681	-0.02344	0.028102	0.0620760870618	0.0212682	6427.0	0.148407265814	-1.54887	False	0.85173917192	0.06969337887	0.0	2.95
c37517	37517	23631.0	23631_32	1.0	2.95	0.00442042557579	0.00500597834362	6251.0	0.86339	0.80071	0.025225	1.1214	0.089814	1.59816882509	0.139974	6251.0	0.518645390884	-0.691744	False	0.995928532621	0.00177182523288	0.0	2.95
c43505	43505	28620.0	28620_14	1.0	2.95	0.00380944079414	0.00444546077739	6181.0	0.57086	0.12393	0.12471	0.5868	0.056307	0.904098720774	0.193102	6181.0	0.0280112402918	2.35477	False	0.494041775787	0.306236325921	0.0	2.95
c51686	51686	35584.0	35584_56	1.0	3.37	0.00337368123807	0.00352575956437	6333.0	0.078308	-1.0708	0.86385	-0.01454	0.02832	0.0635616624144	0.01096	6333.0	0.492541075288	0.735512	False	0.995928532621	0.00177182523288	0.0	3.37
c45664	45664	30456.0	30456_39	1.0	3.37	0.00480069633698	0.00480948615587	6278.0	0.083108	-1.0427	0.84602	-0.034488	0.027747	0.0726193700733	0.00409452	6278.0	0.540289118435	-0.656313	False	0.995928532621	0.00177182523288	0.0	3.37
c73997	73997	54135.0	54135_73	1.0	3.37	0.00361343746672	0.00375978970838	6389.0	0.090909	-1.0	0.81419	0.015673	0.029393	0.0892742359919	0.0341372	6389.0	0.772381720691	0.310015	False	0.997092304798	0.0012646354609	0.0	3.37
c53263	53263	36922.0	36922_32	1.0	3.37	0.00216030524253	0.00216238120559	6253.0	0.080508	-1.0577	0.85557	-0.022021	0.028143	0.0677444520842	0.0098102	6253.0	0.416011418175	-0.871718	False	0.989668322549	0.00451033047487	0.0	3.37
c52547	52547	36304.0	36304_6	1.0	3.37	0.0049066917503	0.00528545714582	6150.0	0.13071	-0.82284	0.54794	0.098805	0.033116	0.26126699461	0.0756769	6150.0	0.086338208528	-1.83809	False	0.750065995241	0.124900523131	0.0	3.37
c9169	9169	67056.0	67056_43	1.0	4.11	0.00528183265304	0.00533365481245	6295.0	0.079508	-1.0636	0.85939	-0.035726	0.027687	0.065809704143	0.00405166	6295.0	0.979444781894	-0.0276136	False	0.997931050083	0.000899464326885	0.0	4.11
c57039	57039	40110.0	40110_42	1.0	4.84	0.00472496704656	0.00515026139078	6294.0	0.080108	-1.0601	0.85706	0.029883	0.029659	0.0669887734598	0.063171	6294.0	0.0893633180407	1.82065	False	0.759955953626	0.119211578313	0.0	4.84
c59207	59207	41979.0	41979_40	1.0	4.84	0.00425669614407	0.00449948596403	6285.0	0.073407	-1.1011	0.87832	-0.0022449	0.028504	0.0563472279267	0.0114613	6285.0	0.0699917606451	1.94197	False	0.706006468974	0.15119131959	0.0	4.84
c20050	20050	8866.0	8866_87	1.0	4.84	0.00653443806994	0.00675928748018	6434.0	0.070107	-1.1227	0.88451	0.019147	0.029102	0.0532972527257	0.0427984	6434.0	0.576835310494	0.59805	False	0.995928532621	0.00177182523288	0.0	4.84
c31378	31378	18474.0	18474_64	1.0	4.84	0.00221584973352	0.00235105210606	6355.0	0.11601	-0.88195	0.6568	0.079731	0.032271	0.182566855889	0.0388805	6355.0	0.433629418676	-0.839175	False	0.99017039661	0.0042900620291	0.0	4.84
c56531	56531	39684.0	39684_91	1.0	4.84	0.00723130756167	0.00729331437503	6454.0	0.070407	-1.1207	0.88408	-0.010959	0.028249	0.0535084340972	0.0234534	6454.0	0.612135555673	-0.543406	False	0.995928532621	0.00177182523288	0.0	4.84
c58607	58607	41468.0	41468_50	1.0	4.84	0.00314828680276	0.00327357133868	6318.0	0.068107	-1.1362	0.88678	0.0020672	0.028589	0.0521841103113	0.0302563	6318.0	0.726533397579	0.374834	False	0.997092304798	0.0012646354609	0.0	4.84
c77901	77901	57295.0	57295_37	1.0	4.84	0.00468278641029	0.00539606677786	6269.0	0.090909	-1.0	0.81419	0.038911	0.030212	0.0892742359919	0.0771509	6269.0	0.163021297238	1.49507	False	0.872646538712	0.0591616295721	0.0	4.84
c25287	25287	13325.0	13325_69	1.0	4.84	0.00476588426577	0.00510140854247	6372.0	0.077208	-1.0774	0.86781	0.0030478	0.028823	0.0615753496899	0.0388076	6372.0	0.355001591693	0.991294	False	0.976586299802	0.0102893725791	0.0	4.84
c58072	58072	40992.0	40992_85	1.0	4.84	0.00483284412137	0.00509533457094	6429.0	0.076608	-1.0811	0.86978	0.0030752	0.028789	0.0605905828623	0.0377338	6429.0	0.552904537696	-0.63599	False	0.995928532621	0.00177182523288	0.0	4.84
c67913	67913	49195.0	49195_39	1.0	5.58	0.00358434995017	0.00393802471353	6279.0	0.66817	0.30397	0.087043	0.88682	0.077781	1.06026614911	0.0866084	6279.0	0.844615818292	-0.210055	False	0.997411764692	0.00112551348807	0.0	5.58
c72524	72524	52934.0	52934_35	1.0	5.58	0.00198575255007	0.00197556398446	6264.0	0.10161	-0.94653	0.75978	-0.075571	0.027066	0.119312142742	-0.0057498	6264.0	0.735573471195	-0.361952	False	0.997092304798	0.0012646354609	0.0	5.58
c9109	9109	66929.0	66929_14	1.0	6.32	0.00516724239104	0.00526744925378	6184.0	0.073507	-1.1005	0.87805	0.00081472	0.028691	0.0564807527661	0.0236113	6184.0	0.33149157769	1.04079	False	0.976586299802	0.0102893725791	0.0	6.32
c68302	68302	49532.0	49532_75	1.0	6.84	0.00462427691078	0.00469092307175	6398.0	0.070907	-1.1174	0.88333	-0.015062	0.028143	0.053877019633	0.0130657	6398.0	0.179199010868	1.4396	False	0.889111058724	0.0510439879854	0.0	6.84
c26592	26592	14426.0	14426_45	1.0	6.84	0.00261380971449	0.0027039843739	6298.0	0.078808	-1.0678	0.86212	-0.019674	0.028183	0.0644322797546	0.0114946	6298.0	0.226915356765	-1.29504	False	0.917095666169	0.0375853588532	0.0	6.84
c77273	77273	56767.0	56767_15	1.0	6.84	0.00371552197227	0.00395818196192	6186.0	0.066307	-1.1486	0.88823	-0.0014383	0.028442	0.051474562603	0.0336636	6186.0	0.720638715078	-0.383263	False	0.997092304798	0.0012646354609	0.0	6.84
c52879	52879	36584.0	36584_58	1.0	7.16	0.0013885326606	0.00140194546858	6341.0	0.088809	-1.0112	0.8235	-0.038942	0.027777	0.0843363964942	-0.00606151	6341.0	0.519692302034	-0.690013	False	0.995928532621	0.00177182523288	0.0	7.16
c7407	7407	54204.0	54204_40	1.0	7.16	0.00497631297622	0.00492120352116	6286.0	0.09691	-0.96936	0.786	-0.068992	0.027164	0.104577453961	-0.0137427	6286.0	0.0370477915622	-2.23485	False	0.564130674563	0.248620284903	0.0	7.16
c58942	58942	41752.0	41752_59	1.0	8.0	0.00197357146587	0.00217675418565	6347.0	0.084708	-1.0336	0.84032	0.032081	0.029807	0.0755552999266	0.0808248	6347.0	0.411768868171	-0.879675	False	0.989668322549	0.00451033047487	0.0	8.0
c43911	43911	28967.0	28967_55	1.0	8.0	0.00484119586592	0.00480106970686	6328.0	0.085709	-1.0281	0.83635	-0.042578	0.027658	0.0776119387587	0.00616771	6328.0	0.084824926015	-1.847	False	0.748442222323	0.125841720364	0.0	8.0
c56947	56947	40027.0	40027_10	1.0	8.0	0.00511260499489	0.00513787330991	6166.0	0.070907	-1.1174	0.88333	-0.023784	0.027915	0.053877019633	0.00600897	6166.0	0.414800067544	0.873985	False	0.989668322549	0.00451033047487	0.0	8.0
c77145	77145	56663.0	56663_36	1.0	9.27	0.00496474084618	0.00516031515891	6267.0	0.09701	-0.96887	0.7855	0.046662	0.030496	0.104853810624	0.0601822	6267.0	0.631394835432	-0.514187	False	0.995928532621	0.00177182523288	0.0	9.27
c61905	61905	44249.0	44249_65	1.0	9.27	0.00375273113098	0.00378184938454	6360.0	0.076008	-1.0848	0.87168	-0.029307	0.02783	0.0596429184393	0.0104961	6360.0	0.423757796602	0.857312	False	0.989668322549	0.00451033047487	0.0	9.27
c10643	10643	578.0	578_9	1.0	9.27	0.00415959172719	0.00460639912027	6160.0	0.080508	-1.0577	0.85557	-0.0094257	0.028531	0.0677444520842	0.0330288	6160.0	0.102086036156	1.75212	False	0.789901783242	0.102426905732	0.0	9.27
c16783	16783	5991.0	5991_50	1.0	11.31	0.00449219571089	0.00468862732572	6314.0	0.083408	-1.041	0.84503	0.025168	0.029688	0.073127872585	0.0510328	6314.0	0.650235779559	0.485968	False	0.995928532621	0.00177182523288	0.0	11.31
c60681	60681	43208.0	43208_57	1.0	11.31	0.00118846297093	0.001214286903	6337.0	0.080108	-1.0601	0.85706	-0.030695	0.02798	0.0669887734598	0.0105366	6337.0	0.635511797524	-0.507991	False	0.995928532621	0.00177182523288	0.0	11.31
c7414	7414	54260.0	54260_75	1.0	11.31	0.00236150055775	0.0023869115352	6399.0	0.088809	-1.0112	0.8235	-0.049514	0.027526	0.0843363964942	-0.000145668	6399.0	0.201840532042	1.3679	False	0.900802144819	0.0453705884318	0.0	11.31
c22773	22773	11220.0	11220_87	1.0	15.37	0.00387181785801	0.00393248392673	6435.0	0.085809	-1.0275	0.83609	-0.046784	0.027478	0.0777469708868	-0.00652343	6435.0	0.262037834386	1.20206	False	0.945606965569	0.024289337333	0.0	15.37
c7953	7953	58616.0	58616_10	1.0	15.37	0.0095077055645	0.00942885278937	6170.0	0.089109	-1.0095	0.82207	-0.056127	0.027328	0.0850912003196	-0.00949116	6170.0	0.242559373891	-1.25246	False	0.935672742172	0.0288760221174	0.0	15.37
c77928	77928	57320.0	57320_41	1.0	15.37	0.0149186141319	0.0156812318807	6292.0	0.076108	-1.0842	0.87133	0.018955	0.02926	0.0598173328956	0.0433026	6292.0	0.785376408499	0.291858	False	0.997092304798	0.0012646354609	0.0	15.37
c57829	57829	40788.0	40788_21	1.0	16.8	0.00471472026799	0.00489711480625	6214.0	0.069907	-1.124	0.88481	0.00049376	0.028564	0.0531499776756	0.0339077	6214.0	0.463565131076	-0.78558	False	0.995928532621	0.00177182523288	0.0	16.8
c9323	9323	67367.0	67367_46	1.0	16.8	0.00529315603898	0.00532382125685	6307.0	0.083808	-1.0387	0.84338	-0.044753	0.027561	0.073976702103	-0.000927044	6307.0	0.419217316678	-0.865737	False	0.989668322549	0.00451033047487	0.0	16.8
c49938	49938	34110.0	34110_86	1.0	16.8	0.00301741371122	0.00304001245786	6433.0	0.081608	-1.0513	0.85197	-0.01156	0.028442	0.0695756975618	0.0186276	6433.0	0.0739502892013	1.91513	False	0.714835596109	0.145793829405	0.0	16.8
c40397	40397	25991.0	25991_8	1.0	19.73	0.00748433071416	0.00747009440657	6155.0	0.080108	-1.0601	0.85706	-0.03417	0.027797	0.0669887734598	0.00472344	6155.0	0.568454795454	0.611249	False	0.995928532621	0.00177182523288	0.0	19.73
c73562	73562	53785.0	53785_73	1.0	19.73	0.00955582104697	0.0100237113461	6388.0	0.09971	-0.95564	0.77127	-0.064788	0.027293	0.112793561011	-0.00149422	6388.0	0.104345910303	1.74067	False	0.792323041375	0.101097714266	0.0	19.73
c33192	33192	20020.0	20020_28	1.0	19.73	0.00478598590116	0.00512579265865	6240.0	0.081208	-1.0536	0.85338	-0.029285	0.028011	0.0688575395777	0.0142488	6240.0	0.865915922654	0.180963	False	0.997812014992	0.000951270878414	0.0	19.73
c5140	5140	35358.0	35358_16	1.0	19.73	0.00471414178571	0.00470644820785	6190.0	0.075508	-1.0879	0.87304	-0.017619	0.028139	0.058965857805	0.0127674	6190.0	0.809951020763	-0.257744	False	0.997092304798	0.0012646354609	0.0	19.73
c41095	41095	26579.0	26579_39	1.0	19.73	0.0027705398153	0.00293814623175	6277.0	0.068607	-1.1328	0.8863	-0.0030709	0.028399	0.0524192506957	0.0279156	6277.0	0.427134295538	0.851081	False	0.989668322549	0.00451033047487	0.0	19.73
c55944	55944	39192.0	39192_23	1.0	19.73	0.00822170900698	0.0085631835955	6222.0	0.088409	-1.0133	0.82527	-0.045661	0.02757	0.0834039419636	-0.00127468	6222.0	0.766863571322	0.317752	False	0.997092304798	0.0012646354609	0.0	19.73
c57323	57323	40361.0	40361_26	1.0	19.73	0.00916536878522	0.00945544426144	6232.0	0.079008	-1.0666	0.8614	-0.025548	0.027979	0.0647951325734	0.01211	6232.0	0.251765803392	-1.2283	False	0.941153044625	0.0263397484838	0.0	19.73
c64801	64801	46641.0	46641_50	1.0	22.17	0.00355511196003	0.00347329282154	6319.0	0.10871	-0.91375	0.71254	-0.076564	0.027015	0.147190750559	-0.0124565	6319.0	0.561053686565	0.622983	False	0.995928532621	0.00177182523288	0.0	22.17
c71003	71003	51690.0	51690_63	1.0	22.77	0.00324508102154	0.00328355690546	6354.0	0.071907	-1.1108	0.88159	-0.0018722	0.028512	0.0547333447281	0.0269668	6354.0	0.763257507563	0.322817	False	0.997092304798	0.0012646354609	0.0	22.77
c6086	6086	43367.0	43367_89	1.0	22.95	0.0347398828183	0.0337321877937	6447.0	0.069507	-1.1267	0.88534	-0.016842	0.028102	0.0528899137462	0.0249259	6447.0	0.554857731133	-0.632864	False	0.995928532621	0.00177182523288	0.0	22.95
c16211	16211	5492.0	5492_16	1.0	23.13	0.00490502624535	0.00489325759533	6188.0	0.077408	-1.0762	0.86723	-0.039909	0.027575	0.0618657070406	-0.00350246	6188.0	0.688882653514	0.429098	False	0.997092304798	0.0012646354609	0.0	23.13
c78557	78557	57822.0	57822_8	1.0	23.14	0.00493066999734	0.00501092598196	6159.0	0.068407	-1.1341	0.88651	-0.014772	0.028088	0.0523163611118	0.0131272	6159.0	0.365380148766	-0.970105	False	0.977007116794	0.0101022727469	0.0	23.14
c42932	42932	28128.0	28128_71	1.0	26.59	0.00162248177134	0.00166843070488	6380.0	0.064406	-1.1622	0.88928	-0.012237	0.028214	0.0509614749027	0.024961	6380.0	0.637927690396	0.504363	False	0.995928532621	0.00177182523288	0.0	26.59
c54449	54449	37921.0	37921_27	1.0	26.59	0.0154847917104	0.0158353466881	6237.0	0.078308	-1.0708	0.86385	-0.028534	0.027844	0.0635616624144	0.00606187	6237.0	0.422771816918	-0.859137	False	0.989668322549	0.00451033047487	0.0	26.59
c55397	55397	38724.0	38724_22	1.0	27.01	0.0048986688732	0.00530701506857	6218.0	0.11161	-0.9009	0.69027	0.075241	0.031922	0.160981001184	0.0818591	6218.0	0.0124308386856	-2.67902	False	0.353630075924	0.451450805727	0.0	27.01
c27319	27319	15036.0	15036_87	1.0	27.01	0.00991292378609	0.0103407448045	6436.0	0.064506	-1.1614	0.88923	-0.010878	0.028207	0.0509858939098	0.0199973	6436.0	0.309024014852	1.09026	False	0.963921700667	0.0159582423931	0.0	27.01
c54255	54255	37753.0	37753_52	1.0	27.01	0.00212262234702	0.00218636717048	6321.0	0.085309	-1.0303	0.83795	0.030227	0.029809	0.0767818947014	0.0193094	6321.0	0.817676490185	-0.247075	False	0.997092304798	0.0012646354609	0.0	27.01
